hotel_name,price_euros,rating,neighborhood
Chamberí con jardín C by RegalateMadrid,927.0,8.7,"Chamberí, Madrid"
Hostal Flat55Madrid,924.0,8.0,"Centro de Madrid, Madrid"
Hotel Cortezo,1.42,8.3,"Centro de Madrid, Madrid"
Hostal Evoke Madrid,927.0,9.0,"Centro de Madrid, Madrid"
Hostal Manuela by Gaiarooms,892.0,7.6,"Centro de Madrid, Madrid"
Sercotel Gran Hotel Conde Duque,1.261,8.4,"Chamberí, Madrid"
Petit Palace Plaza Mayor,1.367,8.3,"Centro de Madrid, Madrid"
Petit Palace Cliper-Gran Vía,1.362,8.2,"Centro de Madrid, Madrid"
Apartamentos Cava Baja,1.147,9.1,"Centro de Madrid, Madrid"
Sercotel Alcalá 611,1.052,8.5,"San Blas, Madrid"
Apartamentos Cinco Rosas,541.0,7.5,"Carabanchel, Madrid"
Hotel Atlántico,1.772,9.2,"Centro de Madrid, Madrid"
Cozy and Modern-1Bedroom 1Bathroom-Delicias,767.0,9.2,"Arganzuela, Madrid"
Petit Palace Plaza España,1.304,8.0,"Centro de Madrid, Madrid"
AbraCadabra Suites,509.0,7.3,"Centro de Madrid, Madrid"
Hostal Riesco,1.01,8.5,"Centro de Madrid, Madrid"
Claridge Madrid,1.308,8.7,"Retiro, Madrid"
Apartamento La Milla de Oro,1.191,8.8,"Salamanca, Madrid"
Style Madrid Center Santiago Bernabeu,897.0,8.9,"Tetuán, Madrid"
Sercotel Madrid Aeropuerto,1.04,8.5,"Barajas, Madrid"
Hostal Victoria II,605.0,8.1,"Centro de Madrid, Madrid"
I'M Room Suites Nuevos Ministerios - Bernabeu 'Digital Access',1.266,9.0,"Tetuán, Madrid"
Hostal Juliette-Gran Vía,1.428,8.0,"Centro de Madrid, Madrid"
UVE Marcenado,893.0,9.2,"Chamartín, Madrid"
Hostal Esmeralda,1.083,8.2,"Centro de Madrid, Madrid"
Globales Acis y Galatea,1.278,7.9,"Hortaleza, Madrid"
Hotel du Temps Madrid,1.596,8.8,"Centro de Madrid, Madrid"
Apartamentos Castilla Luz Business,944.0,8.7,"Tetuán, Madrid"
LaNave,1.532,7.8,"Moncloa - Aravaca, Madrid"
Hostal Milan,1.193,8.3,"Centro de Madrid, Madrid"
BYPILLOW Velázquez 45,1.499,8.6,"Salamanca, Madrid"
Modern Apartment with Terrace near the Center,464.0,,"Carabanchel, Madrid"
Hostal Overnight Madrid,775.0,8.1,"Moncloa - Aravaca, Madrid"
SLEEP'N Atocha - B Corp Certified,1.528,8.9,"Centro de Madrid, Madrid"
Petit Palace President Castellana,1.935,7.5,"Salamanca, Madrid"
JC Rooms Santo Domingo,899.0,7.9,"Centro de Madrid, Madrid"
Hostal Castilla I Atocha,1.05,7.8,"Centro de Madrid, Madrid"
APARTAMENTOS ALCALA,997.0,8.7,"Ciudad Lineal, Madrid"
Akeah Hotel Gran Vía,1.751,8.7,"Centro de Madrid, Madrid"
Exe Moncloa,1.139,8.3,"Chamberí, Madrid"
JC Rooms Santa Ana,843.0,8.0,"Centro de Madrid, Madrid"
Luz Madrid Rooms,960.0,8.2,"Centro de Madrid, Madrid"
Ayala 63 - THE ARC COLLECTION,2.883,9.3,"Salamanca, Madrid"
MH Apartments Soho Madrid,1.793,8.9,"Salamanca, Madrid"
1 bedroom 1 bathroom furnished - Salamanca - modern - MintyStay,976.0,8.0,"Salamanca, Madrid"
Hospedium Hotel Los Condes,1.258,8.5,"Centro de Madrid, Madrid"
Arenal Suites Gran Vía,1.819,9.3,"Centro de Madrid, Madrid"
Axor Feria,1.024,8.4,"San Blas, Madrid"
Palacio Tirso de Molina - THE ARC COLLECTION,3.046,9.2,"Centro de Madrid, Madrid"
CH Rayuela,1.339,8.0,"Centro de Madrid, Madrid"
Acacias Apartments - City Centre,1.418,8.4,"Arganzuela, Madrid"
