hotel_name,price_euros,rating,num_reviews,quality_over_5,quality_type,neighborhood,description
Be Mate Paseo de Gracia,1279.0,8.9,1206.0,4.0,squares,"Gràcia, Barcelona","Double Room with Terrace
1 queen bed
Only 3 rooms left at this price on our site"
Tembo Barcelona,1524.0,8.8,2660.0,4.0,stars,Barcelona,"Queen Studio
Entire studio • 1 bathroom • 27m²
1 queen bed
Only 3 left at this price on our site"
Moxy Barcelona,842.0,8.1,1228.0,4.0,stars,"Sants-Montjuïc, Barcelona","Moxy Queen Room with Balcony
1 queen bed"
Pol & Grace Hotel,697.0,8.2,2548.0,4.0,stars,"Sarrià-St. Gervasi, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins"
Motel One Barcelona-Ciutadella,1100.0,8.8,11216.0,3.0,stars,"Sant Martí, Barcelona","Double Room with View
1 queen bed
Free cancellation
No prepayment needed – pay at the property
Only 7 rooms left at this price on our site"
NH Barcelona Diagonal Center,748.0,8.2,2290.0,3.0,stars,"Sant Martí, Barcelona","Standard Double or Twin Room
Beds: 1 double or 2 twins
Only 1 room left at this price on our site"
Occidental Barcelona 1929,932.0,8.8,5005.0,3.0,stars,"Sants-Montjuïc, Barcelona","Superior Double Room
Beds: 1 double or 2 twins
Only 1 room left at this price on our site"
BARCELONA GOTIC Guesthouse,516.0,7.7,2155.0,1.0,stars,"Ciutat Vella, Barcelona","Basic Twin Room with Shared Bathroom
2 twin beds
Only 1 room left at this price on our site"
Hotel Villa Emilia,968.0,8.9,1558.0,4.0,stars,"Eixample, Barcelona","Double or Twin Room (1-2 Adults)
Beds: 1 double or 2 twins"
Citadines Ramblas Barcelona,978.0,8.6,3719.0,3.0,stars,"Ciutat Vella, Barcelona","Studio (2 Adults)
Entire studio • 1 bathroom • 1 kitchen • 26m²
Beds: 1 double or 2 twins"
Inside Barcelona Apartments Sants,840.0,8.6,664.0,4.0,squares,"Sants-Montjuïc, Barcelona","Studio (2 Adults)
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 42m²
2 twin beds
Only 1 left at this price on our site"
Hotel Condal,775.0,7.5,5046.0,3.0,stars,"Ciutat Vella, Barcelona","Double Room
1 full bed
Only 1 room left at this price on our site"
Aparthotel Bcn Montjuic,786.0,8.4,4137.0,3.0,stars,"Sants-Montjuïc, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins"
Hotel Cortes Rambla,1030.0,8.1,2090.0,3.0,stars,"Ciutat Vella, Barcelona","Superior Double Room
1 queen bed
Only 4 rooms left at this price on our site"
Residència Erasmus Gracia,654.0,8.2,5128.0,,,"Gràcia, Barcelona","Twin Room
2 twin beds
Only 3 rooms left at this price on our site"
Exe Plaza Catalunya,1156.0,8.4,3887.0,4.0,stars,"Eixample, Barcelona","Basic Double Room
1 full bed"
Paral·lel,812.0,8.3,3845.0,2.0,stars,"Sants-Montjuïc, Barcelona","Superior Double or Twin Room
Beds: 1 double or 2 twins"
Sallés Hotel Pere IV,949.0,8.1,8451.0,4.0,stars,"Sant Martí, Barcelona","Deluxe Double Room with Spa Access
Multiple bed types"
Catalonia Eixample 1864,1023.0,8.6,4299.0,4.0,stars,"Eixample, Barcelona","Standard Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site"
Hotel Oasis,868.0,8.5,5138.0,2.0,stars,"Ciutat Vella, Barcelona","Standard Room Exterior
2 twin beds
Only 1 room left at this price on our site"
Hotel Barcelona Universal,943.0,8.3,4189.0,4.0,stars,"Ciutat Vella, Barcelona","Standard Double or Twin Room
Beds: 1 double or 2 twins"
Hotel Soho,1058.0,8.6,2381.0,3.0,stars,"Eixample, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Only 2 rooms left at this price on our site"
Hotel Rec Barcelona - Adults Only,1035.0,8.7,3670.0,3.0,stars,"Ciutat Vella, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Only 7 rooms left at this price on our site"
Oriente Atiram,855.0,8.3,2494.0,3.0,stars,"Ciutat Vella, Barcelona","Single Standard
2 twin beds
Free cancellation"
Silken Sant Gervasi,748.0,8.6,2463.0,3.0,stars,"Sarrià-St. Gervasi, Barcelona","Standard Twin Room
2 twin beds
Only 3 rooms left at this price on our site"
NH Sants Barcelona,855.0,8.6,2852.0,4.0,stars,"Les Corts, Barcelona","Standard Double or Twin Room
Beds: 1 double or 2 twins"
Vincci Maritimo,873.0,8.4,4860.0,4.0,stars,"Sant Martí, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation"
Exe Ramblas Boquería,1053.0,8.2,1286.0,3.0,stars,"Ciutat Vella, Barcelona","Double Room
1 full bed
Only 1 room left at this price on our site"
Cram Hotel,990.0,8.4,3612.0,4.0,stars,"Eixample, Barcelona","Deluxe Double Room
1 queen bed
Free cancellation
Only 5 rooms left at this price on our site"
Room Mate Pau,1043.0,9.2,4200.0,3.0,stars,"Eixample, Barcelona","Standard Double or Twin Room
1 full bed"
Vincci Gala,1210.0,8.6,3464.0,4.0,stars,"Eixample, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation"
The Moods Oasis,892.0,8.6,2047.0,3.0,stars,"Sarrià-St. Gervasi, Barcelona","Standard Double or Twin Room
1 queen bed
Only 2 rooms left at this price on our site"
Golden Hotel Barcelona,837.0,8.3,2474.0,4.0,stars,"Sant Martí, Barcelona","Twin Room
Beds: 1 double or 2 twins
Free cancellation"
Chic & Basic Velvet,777.0,8.2,3335.0,3.0,stars,"Eixample, Barcelona","Superior Room
Beds: 1 double or 2 twins
Only 4 rooms left at this price on our site"
Hotel Pulitzer Barcelona,1269.0,8.8,1498.0,4.0,stars,"Eixample, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Only 5 rooms left at this price on our site"
Ikonik Ramblas,919.0,8.2,2125.0,4.0,stars,"Ciutat Vella, Barcelona","Double Room
Beds: 1 double or 2 twins"
Hotel SERHS Del Port,818.0,8.4,1540.0,3.0,stars,"Ciutat Vella, Barcelona","Comfort Double or Twin Room
Beds: 1 double or 2 twins"
Catalonia Plaza Catalunya,1148.0,8.6,5500.0,4.0,stars,"Eixample, Barcelona","Double or Twin Room
Beds: 1 double or 2 twins
Only 1 room left at this price on our site"
SERHS Carlit Boutique Hotel,997.0,8.5,1251.0,3.0,stars,"Eixample, Barcelona","Comfort Double or Twin Room
Beds: 1 double or 2 twins
Only 4 rooms left at this price on our site"
Vincci Mae,1151.0,8.4,2570.0,4.0,stars,"Sarrià-St. Gervasi, Barcelona","Standard Double Room
Beds: 1 double or 2 twins
Free cancellation"
Exe Mitre,790.0,8.3,2310.0,3.0,stars,"Sarrià-St. Gervasi, Barcelona","Double Room
Beds: 1 double or 2 twins
Only 1 room left at this price on our site"
Travelodge Barcelona Poblenou,699.0,7.3,9977.0,1.0,stars,"Sant Martí, Barcelona","Double Room
1 full bed
Free cancellation
No prepayment needed – pay at the property"
Leonardo Hotel Barcelona Gran Via,854.0,8.6,4570.0,3.0,stars,"Eixample, Barcelona","Comfort Double or Twin Room
Multiple bed types
Only 1 room left at this price on our site"
