hotel_name,price_euros,rating,neighborhood
Home Art Apartments Salamanca,1.207,8.3,"Salamanca, Madrid"
Toledo habitaciones,284.0,6.5,"Centro de Madrid, Madrid"
Apartamentos Apolo,1.358,8.7,"Centro de Madrid, Madrid"
Beautiful studio in Tetuan for 2 pax - Bj A,667.0,8.3,"Tetuán, Madrid"
Globales Acis y Galatea,904.0,7.9,"Hortaleza, Madrid"
Apartamentos Juan Bravo,776.0,8.4,"Salamanca, Madrid"
T-Homes Salamanca,838.0,9.0,"Tetuán, Madrid"
Funway Academic Resort,821.0,7.6,"Tetuán, Madrid"
4Torres Homes - Carmen,756.0,9.1,"Fuencarral - El Pardo, Madrid"
Eurostars Madrid Gran Vía,1.142,8.7,"Centro de Madrid, Madrid"
MH Apartments Soho Madrid,1.493,8.9,"Salamanca, Madrid"
JC Rooms Santa Ana,904.0,8.0,"Centro de Madrid, Madrid"
Horoko Apartments by Gaiarooms,841.0,8.1,"Tetuán, Madrid"
Be Casa - Valdebebas,682.0,8.8,"Hortaleza, Madrid"
PACOROOMS,946.0,8.6,"Centro de Madrid, Madrid"
Hostal Jemasaca-Palma61,637.0,6.9,"Centro de Madrid, Madrid"
Hotel Avenida Gran Vía,1.112,8.1,"Centro de Madrid, Madrid"
Compostela Suites,718.0,7.7,"San Blas, Madrid"
One Shot Luchana,1.149,7.9,"Chamberí, Madrid"
Hostal Josefina-Gran Vía,961.0,7.5,"Centro de Madrid, Madrid"
Hostal Charlotte-Gran Vía,972.0,7.9,"Centro de Madrid, Madrid"
Stayaday Apartments Albufera,786.0,8.7,"Puente de Vallecas, Madrid"
Veracruz Puerta del Sol,1.186,8.0,"Centro de Madrid, Madrid"
Hostal New Life Madrid,934.0,7.5,"Centro de Madrid, Madrid"
Senator Barajas,781.0,7.9,"Barajas, Madrid"
Hostal Castilla I Atocha,975.0,7.8,"Centro de Madrid, Madrid"
Apartamento confortable y funcional en Vallecas,834.0,9.1,"Puente de Vallecas, Madrid"
Calle Aduana,1.211,9.8,"Centro de Madrid, Madrid"
Catalonia Goya,1.71,8.9,"Salamanca, Madrid"
Hotel Acta Madfor,1.022,8.4,"Moncloa - Aravaca, Madrid"
Sercotel Gran Hotel Conde Duque,1.298,8.4,"Chamberí, Madrid"
Hostal PETITE MAMAN,776.0,7.6,"Centro de Madrid, Madrid"
Dormirdcine,1.063,8.7,"Salamanca, Madrid"
Hostal A Nuestra Senora de La Paloma,1.411,8.4,"Centro de Madrid, Madrid"
Exe Convention Plaza Madrid,975.0,8.1,"Fuencarral - El Pardo, Madrid"
Encantador estudio Chamartin,691.0,8.8,"Ciudad Lineal, Madrid"
Hotel Moderno Puerta del Sol,1.537,8.8,"Centro de Madrid, Madrid"
Pestana CR7 Gran Vía Madrid,1.455,8.4,"Centro de Madrid, Madrid"
Minty Stay - Galdo,986.0,9.2,"Centro de Madrid, Madrid"
HOMEABOUT SMART ROOMS Bravo Murillo - SIN RECEPCIÓN,478.0,7.7,"Tetuán, Madrid"
Roisa Hostal Boutique,769.0,8.0,"Chamartín, Madrid"
Catalonia Plaza Mayor,1.55,9.0,"Centro de Madrid, Madrid"
MyHouseSpain - Piso con parking y terraza en Madrid,796.0,8.8,"Tetuán, Madrid"
AngelitoMAD,952.0,7.2,"Moncloa - Aravaca, Madrid"
Style Madrid Center Santiago Bernabeu,897.0,8.9,"Tetuán, Madrid"
Apartamento con terraza céntrico moderno Nuevo,683.0,8.8,"Tetuán, Madrid"
Collection Plaza de España,1.171,7.2,"Centro de Madrid, Madrid"
SUITES YOU Soho,725.0,7.5,"Centro de Madrid, Madrid"
Dobo Homes - G53,734.0,8.5,"Chamberí, Madrid"
Hostal Aguilar,1.88,9.0,"Centro de Madrid, Madrid"
The Bridge Huertas,902.0,7.4,"Centro de Madrid, Madrid"
Claridge Madrid,1.328,8.7,"Retiro, Madrid"
Apartamentos con encanto en La Latina,1.284,7.2,"Centro de Madrid, Madrid"
Tribu Malasaña,1.024,8.9,"Centro de Madrid, Madrid"
BYPILLOW Velázquez 45,1.34,8.6,"Salamanca, Madrid"
Vincci Soho,1.877,8.7,"Centro de Madrid, Madrid"
Vázquez de Mella Gran Vía,1.379,8.2,"Centro de Madrid, Madrid"
Travelodge Torrelaguna,660.0,7.9,"Ciudad Lineal, Madrid"
Tranquilo apartamento Pacífico/Ciudad de Barcelona,552.0,7.0,"Retiro, Madrid"
H-A San Mateo Suites,763.0,7.7,"Centro de Madrid, Madrid"
Hotel Madrid Río,851.0,7.3,"Usera, Madrid"
Acacias Apartments - City Centre,975.0,8.4,"Arganzuela, Madrid"
Salomé,1.06,8.9,"Centro de Madrid, Madrid"
Cuatro Caminos Apartment,885.0,9.3,"Tetuán, Madrid"
JC Rooms Chueca,974.0,8.2,"Centro de Madrid, Madrid"
Dobo Homes - VN17,621.0,8.0,"Ciudad Lineal, Madrid"
Regente Hotel,1.251,8.5,"Centro de Madrid, Madrid"
AMA MADRID Arturo Soria Estudio,560.0,8.0,"San Blas, Madrid"
Hotel du Temps Madrid,1.468,8.8,"Centro de Madrid, Madrid"
Silken Puerta Madrid,804.0,8.5,"San Blas, Madrid"
Apartamentos orilla del Bernabéu,1.263,7.5,"Tetuán, Madrid"
Homelike Las Letras,845.0,7.9,"Centro de Madrid, Madrid"
Eurostars Madrid Tower,1.641,8.8,"Fuencarral - El Pardo, Madrid"
Akeah Hotel Gran Vía,1.39,8.7,"Centro de Madrid, Madrid"
Riu Plaza España,1.618,9.0,"Centro de Madrid, Madrid"
