hotel_name,price_euros,rating,neighborhood
Alojamiento Sepulveds,1.047,8.5,"Eixample, Barcelona"
Hostal Orleans,561.0,8.7,"Ciutat Vella, Barcelona"
C211 Barcelona Apartments,1.295,8.8,"Sarrià-Sant Gervasi, Barcelona"
Luxury Patio,624.0,4.8,"Sant Martí, Barcelona"
Private rooms,427.0,6.8,"Nou Barris, Barcelona"
Passeig de Gracia Studio Loft,1.534,9.2,"Eixample, Barcelona"
LetsGo Diagonal Avenue Apartment,2.097,8.2,"Sarrià-Sant Gervasi, Barcelona"
Ola Living Calabria,1.445,8.2,"Eixample, Barcelona"
Hesperia Barcelona Barri Gòtic,5.881,8.7,"Ciutat Vella, Barcelona"
Click&Flat Sugranyes,854.0,8.1,"Sants-Montjuïc, Barcelona"
Barnapartments Monumental,937.0,6.6,"Eixample, Barcelona"
Centric Apartments Paseo de Gracia,4.981,8.0,"Eixample, Barcelona"
Central Suites Barcelona,3.476,8.8,"Eixample, Barcelona"
Lodging Apartments City Center-Eixample,3.362,8.6,"Eixample, Barcelona"
1208 - EXCLUSIVE DESIGN APARTMENT,3.52,8.0,"Eixample, Barcelona"
Sunotel Central,5.688,8.0,"Eixample, Barcelona"
Lodging Apartments Liceu G1,3.486,8.2,"Ciutat Vella, Barcelona"
Aparthotel Napols - Abapart,1.348,8.5,"Eixample, Barcelona"
Lamaro Hotel,9.209,9.0,"Ciutat Vella, Barcelona"
Sixties Ramblas,7.07,8.5,"Ciutat Vella, Barcelona"
Hotel El Palace Barcelona,7.109,9.3,"Eixample, Barcelona"
Authentic flat2 in Poble sec - Paralelo,1.095,9.0,"Sants-Montjuïc, Barcelona"
Room Guell,392.0,,"Gracia, Barcelona"
Suita Born,876.0,,"Ciutat Vella, Barcelona"
Casa Abamita,7.035,8.6,"Eixample, Barcelona"
Hotel Casa Bonay,8.866,9.0,"Eixample, Barcelona"
"Zafiro, un maravilloso yate en Barcelona",762.0,10.0,Barcelona
Ola Living Hostal Diagonal,1.078,7.0,"Sarrià-Sant Gervasi, Barcelona"
Ndlr 2-4 · Authentic flat in Poble Sec - Paralelo,1.041,7.6,"Sants-Montjuïc, Barcelona"
Generator Barcelona,945.0,7.7,"Gracia, Barcelona"
Estudio Maignon,848.0,9.4,"Gracia, Barcelona"
Micampus Barcelona Student Residence,666.0,7.9,Barcelona
Urban Flats Vallirana,1.27,8.5,"Sarrià-Sant Gervasi, Barcelona"
Click&Flat Luxury Tetuan,1.614,9.1,"Eixample, Barcelona"
Amra Barcelona Caspe,1.126,8.3,"Eixample, Barcelona"
Hotel Inglés,1.109,7.6,"Ciutat Vella, Barcelona"
Ola Living Santa Anna,2.132,8.2,"Ciutat Vella, Barcelona"
Modern pad in a great old barrio,1.145,8.7,"Sant Martí, Barcelona"
Enjoy Apartments Sofia,1.758,7.3,"Eixample, Barcelona"
Ola Living MACBA,1.981,8.2,"Ciutat Vella, Barcelona"
Apartments Sata Sagrada Familia Area,1.448,8.6,"Gracia, Barcelona"
BruStar Gotic-Centric,1.354,7.5,"Eixample, Barcelona"
Ola Living Gracia,1.55,7.3,"Gracia, Barcelona"
Click&Flat Stylish Torrijos,1.092,9.1,"Gracia, Barcelona"
Hermoso piso en el centro de Barcelona,1.68,9.4,"Ciutat Vella, Barcelona"
Nice apartment in Barcelona,793.0,,"Horta-Guinardó, Barcelona"
Ola Living Portaferrissa,2.137,8.4,"Ciutat Vella, Barcelona"
Ola Living Born,1.844,8.2,"Ciutat Vella, Barcelona"
Josep Tarradellas 80,746.0,9.6,"Eixample, Barcelona"
"Ally's Bed&Breakfast,",1.822,8.1,"Eixample, Barcelona"
Enjoy Apartments Urban Retreat Valencia 4,1.238,8.5,"Eixample, Barcelona"
Borrell · Near ramblas,1.184,8.4,"Eixample, Barcelona"
Plaza Universitat,2.391,8.1,"Eixample, Barcelona"
Leonardo Boutique Hotel Barcelona Sagrada Familia,2.537,8.7,"Sant Martí, Barcelona"
Close to Passeig de Gracia,1.417,7.2,"Eixample, Barcelona"
Palau de la Musica Apartments,2.132,8.3,"Ciutat Vella, Barcelona"
Ola Living Music,3.316,8.4,"Ciutat Vella, Barcelona"
Fridays Flats Casa Aquamarine,2.67,8.0,"Sant Martí, Barcelona"
Hotel Cortes Rambla,3.164,8.1,"Ciutat Vella, Barcelona"
Catalunya,1.654,8.2,"Ciutat Vella, Barcelona"
Hostal Centric,2.37,8.9,"Eixample, Barcelona"
Casa Cosi - Francoli 1,2.457,9.0,"Sarrià-Sant Gervasi, Barcelona"
Casa Cosi - La Gleva 3,2.009,9.5,"Sarrià-Sant Gervasi, Barcelona"
Hostal Sol y K,1.416,7.6,"Ciutat Vella, Barcelona"
Casa Cosi - El Farro 1,2.097,9.3,"Sarrià-Sant Gervasi, Barcelona"
Casa Cosi - Mallorca 3,3.06,9.0,"Eixample, Barcelona"
1324 - OLYMPIC DELUXE,2.755,7.3,"Sant Martí, Barcelona"
Casa Cosi - Casanova 2,3.321,8.5,"Eixample, Barcelona"
Click&Flat Seneca Suites,1.053,9.0,"Gracia, Barcelona"
Casa Cosi - Sant Gervasi 1,2.146,8.9,"Sarrià-Sant Gervasi, Barcelona"
Casa Cosi - Eixample 5,3.881,8.6,"Eixample, Barcelona"
Plaza Goya Rooms,2.153,8.2,"Eixample, Barcelona"
Apartments Sata Park Guell Area,1.497,8.9,"Sarrià-Sant Gervasi, Barcelona"
Fridays Flats Casa Lavander,5.921,7.3,"Sants-Montjuïc, Barcelona"
Casa Cosi - Industria,2.053,8.6,"Gracia, Barcelona"
Casa Cosi - Terrace 1,2.939,9.0,"Eixample, Barcelona"
Casa Cosi Mallorca I,2.969,9.3,"Eixample, Barcelona"
Casa Cosi Don Bajos,2.095,8.1,"Sarrià-Sant Gervasi, Barcelona"
Fridays Flats Villa Alba,3.127,6.6,"Sants-Montjuïc, Barcelona"
Housalia Sant Pau Views- Suite with View on Hospital Sant Pau,1.447,8.8,"Eixample, Barcelona"
Casa Cosi - El Farro 3,2.117,8.4,"Sarrià-Sant Gervasi, Barcelona"
Aparthotel Rambla108,2.657,8.6,"Ciutat Vella, Barcelona"
Casa Cosi - Eixample 2,4.123,9.1,"Eixample, Barcelona"
Casa Cosi - Mallorca 2,3.358,7.9,"Eixample, Barcelona"
Casa Cosi - Casanova 6,3.051,8.7,"Eixample, Barcelona"
BUHO Boutique Rooms,2.153,8.3,"Eixample, Barcelona"
The 8 Boutique B&B,1.791,7.5,"Eixample, Barcelona"
Cozy Apartment Near The Beach,1.251,8.8,"Sant Martí, Barcelona"
Casa Cosi - Casanova 4,3.005,9.4,"Eixample, Barcelona"
Casa Cosi - Casanova 3,3.138,9.2,"Eixample, Barcelona"
Housalia Gracia 2,1.595,8.6,"Gracia, Barcelona"
Casa Cosi - La Gleva 4,2.095,9.0,"Sarrià-Sant Gervasi, Barcelona"
Barcelona City North Hostal,2.376,7.2,"Sarrià-Sant Gervasi, Barcelona"
Casa Cosi - Francoli 4,2.284,7.6,"Sarrià-Sant Gervasi, Barcelona"
Casa Cosi - Eixample 1,2.057,6.6,"Eixample, Barcelona"
Barcelona City Hotel,3.072,7.5,"Eixample, Barcelona"
Barcelona City Street,2.502,7.2,"Sarrià-Sant Gervasi, Barcelona"
Casa Cosi - Casanova 7,3.147,8.8,"Eixample, Barcelona"
Housalia Sagrada Familia,1.286,7.8,"Eixample, Barcelona"
Casa Cosi - Putxet 1,2.334,9.1,"Sarrià-Sant Gervasi, Barcelona"
Pensión Coral,7.725,7.8,"Ciutat Vella, Barcelona"
Casa Cosi - Casanova 5,3.295,8.8,"Eixample, Barcelona"
Casa Cosi - Putxet 4,2.67,7.2,"Sarrià-Sant Gervasi, Barcelona"
Sarriá - Sant Gervasi,5.243,9.0,"Sarrià-Sant Gervasi, Barcelona"
Casa PILAR Central By MyRentalHost,3.059,8.2,"Eixample, Barcelona"
Casa Cosi - Eixample 3,3.976,8.4,"Eixample, Barcelona"
1216 - Forum Gardens Apartment,2.082,8.0,"Sant Martí, Barcelona"
1881 Barcelona Gran Rosellon Hotel,7.081,8.0,"Eixample, Barcelona"
Casa Cosi - Gotico,3.37,8.1,"Ciutat Vella, Barcelona"
Four Petals Barcelona Boutique Apartments,2.132,8.4,"Ciutat Vella, Barcelona"
1410 - Mediterranean Forum Apartment,5.198,8.4,"Sant Martí, Barcelona"
Apartamento Rosellón,1.278,9.4,"Sant Martí, Barcelona"
Click&Flat Xoriguer,1.359,8.7,"Sants-Montjuïc, Barcelona"
Casa Cosi - Terrace 2,3.411,7.5,"Eixample, Barcelona"
Barcelona City Centre Hostal,3.265,7.6,"Eixample, Barcelona"
Dudu life,1.04,9.3,"Eixample, Barcelona"
Housalia Corsega - Apartment 3 bedrooms next to Sagrada Familia,1.96,8.3,"Eixample, Barcelona"
Cosmo Suite Penthouse,31.416,,"Sants-Montjuïc, Barcelona"
Housalia Sagrada Familia Views,2.088,9.0,"Eixample, Barcelona"
Filmoteca Sarria 1- wifi quiet bright comfi,1.661,7.8,"Eixample, Barcelona"
Three bedrooms apartment,2.319,9.4,"Eixample, Barcelona"
Poblenou renovated 3BD next to the beach,1.918,8.7,"Sant Martí, Barcelona"
Paseo St Joan classic 4BD for 10 guests,2.296,7.4,"Eixample, Barcelona"
Montaber Apartments - Sagrada Familia,1.159,8.5,"Eixample, Barcelona"
PobleNou Beach Centre,1.45,9.1,"Sant Martí, Barcelona"
Comfortable 3BD in Poblenou next to the beach!,1.751,7.8,"Sant Martí, Barcelona"
Alsina · Historical center - Barrio Gótico,1.545,8.3,"Ciutat Vella, Barcelona"
Housalia Lepant 3 bedroom apartment 300 meters de Sagrada Familia,1.892,8.1,"Eixample, Barcelona"
Click&Flat Luxury mistral,1.607,9.4,"Eixample, Barcelona"
Housalia Casa del Mar en Vila Olímpica,1.925,9.0,"Sant Martí, Barcelona"
Bcn - Poble Nou,1.591,7.1,"Sant Martí, Barcelona"
Chic 3br Retreat With Private Terrace,2.691,7.5,"Eixample, Barcelona"
Housalia Ondina Suites Sagrada Familia,1.793,8.6,"Eixample, Barcelona"
Apartamentos Tarradellas Sants Estació,3.251,7.6,"Eixample, Barcelona"
Moreryadom,2.319,9.3,"Eixample, Barcelona"
Bcn - Eixample 2B · Barcelona - Eixample 2B,1.949,6.9,"Eixample, Barcelona"
Sunny Apt Barcelona 22@,1.764,9.3,"Sant Martí, Barcelona"
Mejor Apartamento en Plaza España con Parking Gratuito,1.793,9.0,"Sants-Montjuïc, Barcelona"
Luxury Born,1.235,6.8,"Ciutat Vella, Barcelona"
Sant Antoni 3 - Downtown Barcelona. Modern,1.51,6.2,"Ciutat Vella, Barcelona"
Click&Flat Luxury cabanyes,1.139,8.7,"Sants-Montjuïc, Barcelona"
1201 - Encantador Apartamento en Poble Nou,1.968,8.7,"Sant Martí, Barcelona"
Nordic apartment Sagrada Familia,1.695,8.0,"Sant Martí, Barcelona"
Cozy Apt in Residential Center by Maison Piñata,1.674,9.0,"Gracia, Barcelona"
Dana - Enjoy Apartments Rocafort,1.084,10.0,"Eixample, Barcelona"
ChicStays Apartment Vila Olímpica,1.703,8.5,"Sant Martí, Barcelona"
Renovated 4BD in Sagrada Familia!,2.306,8.6,"Gracia, Barcelona"
Flat San Antoni Villaroel/Apartment,1.555,8.5,"Eixample, Barcelona"
Gracia 1872,2.896,9.3,"Gracia, Barcelona"
Letsgo Camp Nou Apartment,1.919,7.4,"Les Corts, Barcelona"
Housalia Familia Rossellon,1.771,7.4,"Eixample, Barcelona"
Terrace Duplex at SAGRADA FAMILIA-GRACIA,1.576,9.6,"Gracia, Barcelona"
Apartamento Sant Gervasi,2.098,7.9,"Sarrià-Sant Gervasi, Barcelona"
Suite Miro Eixample Barcelona,2.154,8.8,"Eixample, Barcelona"
Click&Flat Luxury Sant Joan,1.545,9.0,"Eixample, Barcelona"
Barcelona Family Beach,1.488,9.1,"Sant Martí, Barcelona"
