hotel_name,price_euros,rating,neighborhood
Sercotel Hotel Rosellon,1.991,8.2,"Eixample, Barcelona"
Hotel Paxton Barcelona,1.58,8.8,"Sant Martí, Barcelona"
Tembo Barcelona,1.402,8.8,Barcelona
Hotel Rialto,1.46,8.5,"Ciutat Vella, Barcelona"
Vincci Bit,1.29,8.5,"Sant Martí, Barcelona"
Mercer House Bòria BCN,2.898,8.1,"Ciutat Vella, Barcelona"
Hotel 1898,2.729,8.9,"Ciutat Vella, Barcelona"
Axel TWO Barcelona 4 Sup - Adults Only,1.476,8.3,"Eixample, Barcelona"
Unite Hostel Barcelona,1.068,8.0,"Sant Martí, Barcelona"
Ohla Barcelona,3.371,9.1,"Ciutat Vella, Barcelona"
TSA La Rambla,1.987,9.1,"Ciutat Vella, Barcelona"
ME Barcelona,3.879,9.1,"Eixample, Barcelona"
Ohla Eixample,4.334,8.9,"Eixample, Barcelona"
Cosmo Apartments Rambla Catalunya,4.874,8.4,"Eixample, Barcelona"
Mercedes Heritage Apartments,3.236,8.7,"Eixample, Barcelona"
El Palauet Royal Suites,6.904,9.0,"Gracia, Barcelona"
Blue Barcelona,1.674,8.1,"Sarrià-Sant Gervasi, Barcelona"
Hotel Via Augusta,1.201,8.4,"Sarrià-Sant Gervasi, Barcelona"
Travelodge Barcelona Poblenou,1.031,7.3,"Sant Martí, Barcelona"
Golden Hotel Barcelona,1.427,8.3,"Sant Martí, Barcelona"
Vincci Maritimo,1.727,8.4,"Sant Martí, Barcelona"
Hotel & Spa Villa Olimpica Suites,1.46,8.0,"Sant Martí, Barcelona"
Generator Barcelona,1.446,7.7,"Gracia, Barcelona"
Catalonia La Boquería,1.695,8.3,"Ciutat Vella, Barcelona"
Vincci Gala,1.989,8.6,"Eixample, Barcelona"
"Grand Hotel Central, Small Luxury Hotels",2.121,8.8,"Ciutat Vella, Barcelona"
Hostal Centric,1.221,8.9,"Eixample, Barcelona"
Oriente Atiram,1.469,8.3,"Ciutat Vella, Barcelona"
Novotel Barcelona City,2.082,8.2,"Sant Martí, Barcelona"
NH Barcelona Diagonal Center,1.485,8.2,"Sant Martí, Barcelona"
Pol & Grace Hotel,1.417,8.2,"Sarrià-Sant Gervasi, Barcelona"
Sallés Hotel Pere IV,1.605,8.1,"Sant Martí, Barcelona"
HCC Taber,1.285,8.6,"Eixample, Barcelona"
