hotel_name,price_euros,rating,neighborhood
Hotel Roger de Llúria,1988.0,8.3,"Eixample, Barcelona"
Lempika,1588.0,9.3,"Eixample, Barcelona"
Four Points by Sheraton Barcelona Airport,1079.0,8.7,Barcelona
Travelodge Barcelona Poblenou,1125.0,7.3,"Sant Martí, Barcelona"
AC Hotel Barcelona Fórum by Marriott,1805.0,8.1,"Sant Martí, Barcelona"
Pensión Villanueva,948.0,7.2,"Ciutat Vella, Barcelona"
SLS Barcelona,1929.0,,"Forum Beach , Barcelona"
Tembo Barcelona,2898.0,8.8,Barcelona
Apartment Eixample Dret Valencia - Cartagena by Interhome,1240.0,9.0,"Eixample, Barcelona"
Bonanova Suite,1567.0,8.5,"Sarrià-St. Gervasi, Barcelona"
Hotel Viladomat,1912.0,7.6,"Eixample, Barcelona"
ibis Styles Barcelona City Bogatell,1568.0,8.4,"Sant Martí, Barcelona"
Hotel Via Augusta,1582.0,8.4,"Sarrià-St. Gervasi, Barcelona"
Axel TWO Barcelona 4 Sup - Adults Only,2105.0,8.3,"Eixample, Barcelona"
Hotel Paxton Barcelona,2401.0,8.8,"Sant Martí, Barcelona"
htop BCN City #htopEnjoy,1095.0,6.3,"Horta-Guinardó, Barcelona"
Unite Hostel Barcelona,1771.0,8.0,"Sant Martí, Barcelona"
Sixtytwo Hotel,3742.0,9.3,"Eixample, Barcelona"
Barcelonaforrent The Central Place,3657.0,8.2,"Eixample, Barcelona"
You Stylish El Born Apartments,1974.0,8.4,"Eixample, Barcelona"
Barcelonaforrent Urban Town Suites,2824.0,7.7,"Sarrià-St. Gervasi, Barcelona"
"Labtwentytwo Barcelona, a Tribute Portfolio Hotel",1594.0,8.4,"Sant Martí, Barcelona"
Hotel & Spa Villa Olimpica Suites,1793.0,8.0,"Sant Martí, Barcelona"
Mihlton Barcelona Boutique B&B,1441.0,8.7,"Eixample, Barcelona"
BruStar Gotic-Centric,1081.0,7.5,"Eixample, Barcelona"
Hotel Sant Agustí,1784.0,8.0,"Ciutat Vella, Barcelona"
Casa Bella Gracia by Aspasios,1424.0,8.4,"Gràcia, Barcelona"
Sallés Hotel Pere IV,1985.0,8.1,"Sant Martí, Barcelona"
Capri by Fraser Barcelona,1665.0,8.3,"Sant Martí, Barcelona"
Hesperia Barcelona Barri Gòtic,2322.0,8.7,"Ciutat Vella, Barcelona"
ApartEasy - Gracia Apartments,1635.0,7.1,"Gràcia, Barcelona"
08028 Apartments,1330.0,8.8,"Les Corts, Barcelona"
Blue Barcelona,2657.0,8.1,"Sarrià-St. Gervasi, Barcelona"
Royal Ramblas,2461.0,8.3,"Ciutat Vella, Barcelona"
Super Balmes Guest House,1085.0,8.4,"Eixample, Barcelona"
Inside Barcelona Apartments Sants,1349.0,8.6,"Sants-Montjuïc, Barcelona"
Hotel America Barcelona,2302.0,8.7,"Eixample, Barcelona"
Ciutat Vella,1978.0,8.0,"Ciutat Vella, Barcelona"
Catalonia Barcelona 505,1588.0,8.5,"Sarrià-St. Gervasi, Barcelona"
"Casa Consell Gran Via, Guest House",1746.0,8.6,"Eixample, Barcelona"
Yeah Barcelona Hostel,2045.0,8.9,"Eixample, Barcelona"
BCN Urbaness Hotels Del Comte,1800.0,7.6,"Eixample, Barcelona"
Hostal Central Barcelona,1720.0,8.4,"Eixample, Barcelona"
Hotel del Mar,1703.0,8.4,"Ciutat Vella, Barcelona"
Sant Antoni Market,2096.0,8.7,"Eixample, Barcelona"
Charmsuites Nou Rambla,1482.0,7.5,"Sants-Montjuïc, Barcelona"
Zenit Barcelona,1692.0,8.2,"Sarrià-St. Gervasi, Barcelona"
Apartamentos DV,1153.0,8.6,"Sants-Montjuïc, Barcelona"
Hotel Gótico,2243.0,8.6,"Ciutat Vella, Barcelona"
Barcelona Hotel Colonial,2261.0,8.4,"Ciutat Vella, Barcelona"
MH Apartments Gracia,2099.0,8.4,"Gràcia, Barcelona"
Catalonia La Boquería,1837.0,8.3,"Ciutat Vella, Barcelona"
Silken Sant Gervasi,1321.0,8.6,"Sarrià-St. Gervasi, Barcelona"
Aspasios Arc de Triomf Apartments,2039.0,9.2,"Eixample, Barcelona"
Hotel 54 Barceloneta,2147.0,8.5,"Ciutat Vella, Barcelona"
Yomo Hostal BCN Port,1228.0,8.0,"Sants-Montjuïc, Barcelona"
The Social Hub Barcelona Poblenou,1535.0,8.8,"Sant Martí, Barcelona"
Catalonia Albeniz,1477.0,8.4,"Sant Martí, Barcelona"
Hotel Turin Barcelona,2053.0,8.3,"Ciutat Vella, Barcelona"
Gran Hotel Havana 4Sup by Escampa Hotels,2608.0,8.6,"Eixample, Barcelona"
BARCELONA GOTIC Guesthouse,839.0,7.7,"Ciutat Vella, Barcelona"
Hotel Rialto,3029.0,8.5,"Ciutat Vella, Barcelona"
Stay Barcelona Gran Via,1755.0,6.3,"Eixample, Barcelona"
Catalonia Sagrada Familia,1562.0,8.4,"Sant Martí, Barcelona"
"The Hoxton, Poblenou",2798.0,8.5,"Sant Martí, Barcelona"
Mercer House Bòria BCN,2581.0,8.1,"Ciutat Vella, Barcelona"
Hotel Astoria,1796.0,8.4,"Eixample, Barcelona"
Cozy Apartment Les Corts,2197.0,9.6,"Les Corts, Barcelona"
Hostal Lleida,1287.0,8.2,"Eixample, Barcelona"
Moxy Barcelona,1820.0,8.1,"Sants-Montjuïc, Barcelona"
Hostal BESTPRICE Barcelona Stadium,810.0,8.3,"Les Corts, Barcelona"
Serennia Apartamentos Ramblas - Plaça Catalunya,2999.0,8.4,"Eixample, Barcelona"
Ilunion Auditori,1830.0,8.3,"Eixample, Barcelona"
Barcelona Apartment Villarroel,2425.0,7.9,"Eixample, Barcelona"
TSA Gran Via,2465.0,8.2,"Eixample, Barcelona"
Apart-Suites Hostemplo,1769.0,8.9,"Eixample, Barcelona"
Free Hostels Barcelona,1447.0,8.0,"Eixample, Barcelona"
Ilunion Les Corts Spa,1785.0,8.2,"Les Corts, Barcelona"
Sixties Ramblas,1607.0,8.4,"Ciutat Vella, Barcelona"
Hotel BESTPRICE Gracia,1140.0,8.5,"Gràcia, Barcelona"
Ako Suites Hotel,1935.0,8.2,"Eixample, Barcelona"
Hotel BESTPRICE Diagonal,1165.0,8.4,"Sant Martí, Barcelona"
Hotel California,2456.0,8.1,"Ciutat Vella, Barcelona"
Flateli 430 BCN,2007.0,8.0,"Eixample, Barcelona"
NH Barcelona Diagonal Center,1566.0,8.2,"Sant Martí, Barcelona"
Sansi Pedralbes,2853.0,9.7,"Les Corts, Barcelona"
Hotel Nuevo Triunfo,2130.0,7.8,"Sants-Montjuïc, Barcelona"
Forget Me Not Barcelona,2404.0,9.1,"Eixample, Barcelona"
Petit Palace Boqueria Garden,2538.0,8.1,"Ciutat Vella, Barcelona"
You Stylish City Center Apartments,2655.0,8.4,"Eixample, Barcelona"
Ramblas Hotel,1561.0,7.3,"Ciutat Vella, Barcelona"
Mesón Castilla Atiram Hotels,1727.0,8.2,"Ciutat Vella, Barcelona"
ApartEasy - Central Gracia Apartments,1650.0,6.9,"Gràcia, Barcelona"
Fira Apartments by Gaiarooms,2250.0,8.1,"Sants-Montjuïc, Barcelona"
Acacia Suite,1726.0,8.0,"Eixample, Barcelona"
Casa Pince,2224.0,9.0,"Ciutat Vella, Barcelona"
Ilunion Almirante,1934.0,7.6,"Ciutat Vella, Barcelona"
Aspasios Sagrada Familia Apartments,2147.0,9.2,"Eixample, Barcelona"
Residència Erasmus Gracia,1169.0,8.2,"Gràcia, Barcelona"
Axel Hotel Barcelona - Adults Only,2093.0,8.1,"Eixample, Barcelona"
Ilunion Bel-Art,2050.0,8.4,"Horta-Guinardó, Barcelona"
ApartsNouBcn Equador Les Corts,2211.0,9.5,"Les Corts, Barcelona"
Sunotel Junior,1604.0,7.2,"Eixample, Barcelona"
MH Apartments Suites,2395.0,8.4,"Eixample, Barcelona"
Suite Miro Eixample Barcelona,1453.0,8.8,"Eixample, Barcelona"
Lamaro Hotel,3959.0,9.0,"Ciutat Vella, Barcelona"
AG Apartments,1888.0,8.6,"Sants-Montjuïc, Barcelona"
Fisa Rentals Gran Via Apartments,1932.0,8.8,"Eixample, Barcelona"
Hotel Best Front Maritim,1582.0,7.5,"Sant Martí, Barcelona"
AMISTAT City Hostel Barcelona,1024.0,8.5,"Sant Andreu, Barcelona"
Som Nit Born,1376.0,8.3,"Ciutat Vella, Barcelona"
Hostal Balkonis,1132.0,7.3,"Eixample, Barcelona"
Vincci Maritimo,2683.0,8.4,"Sant Martí, Barcelona"
TSA La Rosa,2898.0,8.1,"Gràcia, Barcelona"
Ohla Barcelona,5056.0,9.1,"Ciutat Vella, Barcelona"
Vincci Bit,2623.0,8.5,"Sant Martí, Barcelona"
Senator Barcelona Apartments,1473.0,7.5,"Sarrià-St. Gervasi, Barcelona"
Catalonia Roma,1637.0,8.4,"Eixample, Barcelona"
Occidental Barcelona 1929,2291.0,8.8,"Sants-Montjuïc, Barcelona"
Oriente Atiram,1884.0,8.3,"Ciutat Vella, Barcelona"
Ohla Eixample,4562.0,8.9,"Eixample, Barcelona"
SERHS Carlit Boutique Hotel,1760.0,8.5,"Eixample, Barcelona"
Hotel Santa Marta,1610.0,8.6,"Ciutat Vella, Barcelona"
Mercedes Heritage Apartments,2527.0,8.7,"Eixample, Barcelona"
Ilunion Barcelona,1921.0,8.5,"Sant Martí, Barcelona"
ME Barcelona,4278.0,9.1,"Eixample, Barcelona"
Aparthotel Allada 3*,2228.0,7.9,"Ciutat Vella, Barcelona"
Ola Living MACBA,1790.0,8.2,"Ciutat Vella, Barcelona"
BUHO Boutique Rooms,1310.0,8.3,"Eixample, Barcelona"
Catalonia Diagonal Centro,2048.0,8.7,"Eixample, Barcelona"
Barcelona Apartment Republica,2247.0,7.4,"Sant Martí, Barcelona"
Barcelona Apartment Milà,2425.0,8.1,"Gràcia, Barcelona"
TSA La Rambla,3025.0,9.1,"Ciutat Vella, Barcelona"
Inside Barcelona Apartments Esparteria,1806.0,8.7,"Ciutat Vella, Barcelona"
