hotel_name,price_euros,rating,neighborhood
Apartamento La Milla de Oro,1191.0,8.8,"Salamanca, Madrid"
Ilunion Pio XII,824.0,8.7,"Chamartín, Madrid"
ITC Mora by Soho Boutique,1110.0,7.8,"Madrid City Center, Madrid"
Hostal Sol Los Angeles,977.0,7.9,"Madrid City Center, Madrid"
"Bautiful and centrally located, Cuzco-Bernabeu",812.0,9.2,"Tetuan, Madrid"
H-A Aparthotel Hotel Quo,938.0,8.2,"Salamanca, Madrid"
1 bedroom 1 bathroom furnished - Salamanca - Stylish WTerrace - MintyStay,1090.0,9.3,"Salamanca, Madrid"
1 bedroom 1 bathroom furnished - Av de America - studio - MintyStay,702.0,8.3,"Chamartín, Madrid"
Horoko Apartments by Gaiarooms,802.0,8.1,"Tetuan, Madrid"
Petit Palace Plaza España,1306.0,8.0,"Madrid City Center, Madrid"
Hotel Atlántico,1772.0,9.2,"Madrid City Center, Madrid"
"En Madrid, a unos minutos del aeropuerto airport Barajas, Plenilunio, estadio de fútbol Metropolitano, Feria de Madrid, Clínica Navarra",631.0,9.2,"San Blas, Madrid"
Claridge Madrid,1308.0,8.7,"Retiro, Madrid"
Exe Moncloa,1139.0,8.3,"Chamberi, Madrid"
I'M Room Suites Nuevos Ministerios - Bernabeu 'Digital Access',1245.0,9.0,"Tetuan, Madrid"
Apartamentos Recoletos,977.0,7.6,"Salamanca, Madrid"
Hotel Santo Domingo,1463.0,7.6,"Madrid City Center, Madrid"
Petit Palace Cliper-Gran Vía,1368.0,8.2,"Madrid City Center, Madrid"
Zleep Madrid Airport,678.0,8.3,"San Blas, Madrid"
Hostal PETITE MAMAN,749.0,7.6,"Madrid City Center, Madrid"
Petit Palace President Castellana,1935.0,7.5,"Salamanca, Madrid"
BYPILLOW Velázquez 45,1499.0,8.6,"Salamanca, Madrid"
Hostal A Nuestra Senora de La Paloma,1219.0,8.4,"Madrid City Center, Madrid"
Titanic Dreams,525.0,7.1,"Ciudad Lineal, Madrid"
MH Apartments Central Madrid,2243.0,8.9,"Madrid City Center, Madrid"
NH Madrid Ventas,1067.0,8.6,"Salamanca, Madrid"
Casa de Huespedes Dolce Vita,703.0,7.6,"Madrid City Center, Madrid"
Canillas - Mintystay Apartments,829.0,8.4,"Chamartín, Madrid"
Apartosuites Jardines de Sabatini,1186.0,9.1,"Moncloa-Aravaca, Madrid"
Petit Palace Posada del Peine,1460.0,8.5,"Madrid City Center, Madrid"
Hostal Victoria II,605.0,8.1,"Madrid City Center, Madrid"
1 bedroom 1 bathroom furnished - Salamanca - Modern WTerrace - MintyStay,1217.0,9.4,"Salamanca, Madrid"
Fuencarral Adeco,817.0,8.3,"Madrid City Center, Madrid"
JC Rooms Santo Domingo,899.0,7.9,"Madrid City Center, Madrid"
Sterling,1249.0,8.0,"Madrid City Center, Madrid"
Oriente Palace Apartments,1822.0,9.0,"Madrid City Center, Madrid"
Apartamento Principe de Vergara,890.0,8.3,"Chamartín, Madrid"
