hotel_name,price_euros,rating,neighborhood
Hotel Casa Bonay,,9.0,"Eixample, Barcelona"
Tembo Barcelona,,8.8,Barcelona
Axel TWO Barcelona 4 Sup - Adults Only,,8.3,"Eixample, Barcelona"
Royal Ramblas,,8.3,"Ciutat Vella, Barcelona"
Hotel & Spa Villa Olimpica Suites,,8.0,"Sant Martí, Barcelona"
Cosmo Apartments Rambla Catalunya,,8.4,"Eixample, Barcelona"
Rental Apartment Barcelona,,9.3,"Eixample, Barcelona"
Hostal Las Flores Ramblas,,8.3,"Ciutat Vella, Barcelona"
Hotel Sant Agustí,,8.0,"Ciutat Vella, Barcelona"
Center Gran Via,,8.8,"Eixample, Barcelona"
Vincci Bit,,8.5,"Sant Martí, Barcelona"
BARCELONA GOTIC Guesthouse,839.0,7.7,"Ciutat Vella, Barcelona"
Good-Home Paseo de Gracia,,8.1,"Eixample, Barcelona"
Axel Hotel Barcelona - Adults Only,,8.1,"Eixample, Barcelona"
Vincci Maritimo,,8.4,"Sant Martí, Barcelona"
Chic & Basic Born Boutique Hotel,,8.2,"Ciutat Vella, Barcelona"
Monturiol Apartaments,,9.1,"Sant Martí, Barcelona"
Free Hostels Barcelona,,8.0,"Eixample, Barcelona"
Vincci Mae,,8.5,"Sarrià-St. Gervasi, Barcelona"
Miiro Borneta,,9.0,"Ciutat Vella, Barcelona"
Vincci Gala,,8.6,"Eixample, Barcelona"
Pensión Villanueva,,7.2,"Ciutat Vella, Barcelona"
AMISTAT City Hostel Barcelona,,8.5,"Sant Andreu, Barcelona"
The White Flats Les Corts,,8.6,"Les Corts, Barcelona"
Isabella's House,,8.5,"Sarrià-St. Gervasi, Barcelona"
Suites Center Barcelona,,9.1,"Gràcia, Barcelona"
You Stylish City Center Apartments,,8.4,"Eixample, Barcelona"
Amister Apartments,,8.8,"Eixample, Barcelona"
Beautiful apartment in Las Ramblas Barcelona 6pax,,7.7,"Ciutat Vella, Barcelona"
Tendency Apartments 7,,7.6,"Eixample, Barcelona"
Feelathome Casa Bertrand,,8.8,"Eixample, Barcelona"
Hotel Boutique Mirlo Barcelona,,9.4,"Sarrià-St. Gervasi, Barcelona"
Catalonia Barcelona 505,,8.5,"Sarrià-St. Gervasi, Barcelona"
Acta Voraport,,8.8,"Sant Martí, Barcelona"
Catalonia Sagrada Familia,,8.4,"Sant Martí, Barcelona"
David's House,,9.2,"Gràcia, Barcelona"
Tendency Apartments 6,,8.0,"Eixample, Barcelona"
1208 - EXCLUSIVE DESIGN APARTMENT,,8.0,"Eixample, Barcelona"
¡Apartamento en el centro de Barcelona!,,7.7,"Eixample, Barcelona"
Gracia Apartment,,10.0,"Sarrià-St. Gervasi, Barcelona"
Barcelonaforrent Tucson Suites,,7.5,"Eixample, Barcelona"
Hotel Viladomat,,7.6,"Eixample, Barcelona"
Hotel Via Augusta,,8.4,"Sarrià-St. Gervasi, Barcelona"
Exe Mitre,,8.3,"Sarrià-St. Gervasi, Barcelona"
Mesón Castilla Atiram Hotels,,8.2,"Ciutat Vella, Barcelona"
Hotel Market,,7.6,"Eixample, Barcelona"
Catalonia Albeniz,,8.4,"Sant Martí, Barcelona"
Apart-Suites Hostemplo,,8.9,"Eixample, Barcelona"
NH Barcelona Diagonal Center,,8.2,"Sant Martí, Barcelona"
Travelodge Barcelona Poblenou,,7.3,"Sant Martí, Barcelona"
Urbany Hostel Barcelona,,7.3,"Sant Martí, Barcelona"
Hotel Condal,,7.5,"Ciutat Vella, Barcelona"
Catalonia Atenas,,8.3,"Sant Martí, Barcelona"
Leonardo Boutique Hotel Barcelona Sagrada Familia,,8.7,"Sant Martí, Barcelona"
Hotel Ramblas Internacional,,7.4,"Ciutat Vella, Barcelona"
Feelathome Center Apartments,,8.1,"Eixample, Barcelona"
Yomo Hostal BCN Port,,8.0,"Sants-Montjuïc, Barcelona"
Hotel Casa Teva Barcelona,,8.8,"Ciutat Vella, Barcelona"
Hotel Oasis,,8.5,"Ciutat Vella, Barcelona"
Silken Sant Gervasi,,8.6,"Sarrià-St. Gervasi, Barcelona"
Oriente Atiram,,8.3,"Ciutat Vella, Barcelona"
Mihlton Barcelona Boutique B&B,,8.7,"Eixample, Barcelona"
Boutique Hostemplo Sagrada Familia,,8.7,"Eixample, Barcelona"
Occidental Atenea Mar - Adults Only,,8.2,"Sant Martí, Barcelona"
The Social Hub Barcelona Poblenou,,8.8,"Sant Martí, Barcelona"
Cuatro Naciones,,8.2,"Ciutat Vella, Barcelona"
Hotel Lyon,,7.2,"Ciutat Vella, Barcelona"
Catalonia La Boquería,,8.3,"Ciutat Vella, Barcelona"
Hostal Benidorm,,8.2,"Ciutat Vella, Barcelona"
Sixties Ramblas,,8.4,"Ciutat Vella, Barcelona"
Hotel El Call,,7.5,"Ciutat Vella, Barcelona"
ArtlifeBCN Urban Oasis Apartment,,9.9,"Sants-Montjuïc, Barcelona"
Novotel Barcelona City,,8.2,"Sant Martí, Barcelona"
Sallés Hotel Pere IV,,8.1,"Sant Martí, Barcelona"
Hotel Nouvel,,8.0,"Ciutat Vella, Barcelona"
"Grand Hotel Central, Small Luxury Hotels",,8.8,"Ciutat Vella, Barcelona"
Leonardo Hotel Barcelona Las Ramblas,,8.1,"Ciutat Vella, Barcelona"
Eco Boutique Hostal Grau,,9.0,"Ciutat Vella, Barcelona"
NH Barcelona Stadium,,8.3,"Les Corts, Barcelona"
Hotel Nuevo Triunfo,,7.8,"Sants-Montjuïc, Barcelona"
Feelathome Plaza Apartments,,8.5,"Sants-Montjuïc, Barcelona"
Feelathome Poblenou Beach Apartments,,8.4,"Sant Martí, Barcelona"
Caledonian,,8.6,"Eixample, Barcelona"
