hotel_name,price_euros,rating,neighborhood
BCN2STAY Apartments,761.0,7.8,"Ciutat Vella, Barcelona"
Catalonia Albeniz,,8.4,"Sant Martí, Barcelona"
Moxy Barcelona,,8.1,"Sants-Montjuïc, Barcelona"
Catalonia Barcelona 505,,8.5,"Sarrià-St. Gervasi, Barcelona"
Hotel Viladomat,,7.6,"Eixample, Barcelona"
Sallés Hotel Pere IV,,8.1,"Sant Martí, Barcelona"
Hotel Concordia Barcelona,,8.3,"Sants-Montjuïc, Barcelona"
Pensión Iznájar Barcelona,,8.0,"Ciutat Vella, Barcelona"
Catalonia Roma,,8.4,"Eixample, Barcelona"
Hotel Via Augusta,,8.4,"Sarrià-St. Gervasi, Barcelona"
Hotel Continental Palacete,,8.5,"Eixample, Barcelona"
Ecozentric,948.0,7.4,"Eixample, Barcelona"
Ramblas Apartments,,8.7,"Ciutat Vella, Barcelona"
Hotel Rialto,,8.5,"Ciutat Vella, Barcelona"
Catalonia Eixample 1864,,8.6,"Eixample, Barcelona"
Silken Sant Gervasi,923.0,8.6,"Sarrià-St. Gervasi, Barcelona"
Hotel Lloret Ramblas,,8.1,"Ciutat Vella, Barcelona"
Catalonia Diagonal Centro,,8.7,"Eixample, Barcelona"
Magatzem 128,,8.7,"Eixample, Barcelona"
Hostal Operaramblas,997.0,8.8,"Ciutat Vella, Barcelona"
Catalonia Barcelona Plaza,,8.7,"Sants-Montjuïc, Barcelona"
Tembo Barcelona,,8.8,Barcelona
Hotel Continental Barcelona,,8.1,"Ciutat Vella, Barcelona"
Golden Hotel Barcelona,,8.3,"Sant Martí, Barcelona"
Ohla Barcelona,,9.1,"Ciutat Vella, Barcelona"
Ohla Eixample,,8.9,"Eixample, Barcelona"
Barcelona Mercaders Apartments,,8.0,"Ciutat Vella, Barcelona"
Catalonia Plaza Catalunya,,8.6,"Eixample, Barcelona"
Catalonia Atenas,,8.3,"Sant Martí, Barcelona"
Catalonia Passeig de Gràcia 4* Sup,,9.1,"Eixample, Barcelona"
Fisa Rentals Ramblas Apartments,,8.8,"Eixample, Barcelona"
ZOOROOMS Boutique Guesthouse,,9.1,"Eixample, Barcelona"
Hotel Paxton Barcelona,,8.8,"Sant Martí, Barcelona"
Axel TWO Barcelona 4 Sup - Adults Only,,8.3,"Eixample, Barcelona"
Catalonia Portal de l'Angel,,8.7,"Ciutat Vella, Barcelona"
B Hotel,,8.6,"Eixample, Barcelona"
Barcelonaforrent The Central Place,,8.2,"Eixample, Barcelona"
Hotel Raval House,,8.2,"Ciutat Vella, Barcelona"
Barcelonaforrent Urban Town Suites,,7.7,"Sarrià-St. Gervasi, Barcelona"
Hotel Aneto,,7.8,"Ciutat Vella, Barcelona"
Oriente Atiram,,8.3,"Ciutat Vella, Barcelona"
NH Barcelona Diagonal Center,,8.2,"Sant Martí, Barcelona"
My Address in Barcelona,,8.5,"Eixample, Barcelona"
Hostalin Barcelona Gran Via,,7.9,"Eixample, Barcelona"
Travelodge Barcelona Poblenou,980.0,7.3,"Sant Martí, Barcelona"
SERHS Carlit Boutique Hotel,,8.5,"Eixample, Barcelona"
NH Barcelona Les Corts,,8.4,"Les Corts, Barcelona"
Hotel & Spa Villa Olimpica Suites,,8.0,"Sant Martí, Barcelona"
La França Travellers Adults Only,,8.3,"Sants-Montjuïc, Barcelona"
Cami Gallery Barcelona,,8.1,"Eixample, Barcelona"
BCN Urbaness Hotels Del Comte,,7.6,"Eixample, Barcelona"
Hotel Vilamarí,,8.1,"Eixample, Barcelona"
Catalonia Magdalenes,,9.3,"Ciutat Vella, Barcelona"
Catalonia Ramblas 4* Sup,,8.5,"Ciutat Vella, Barcelona"
Sunotel Aston,,7.5,"Eixample, Barcelona"
Sunotel Central,,8.0,"Eixample, Barcelona"
Mosaic by Ona,,8.5,"Eixample, Barcelona"
One Shot Aragó,,8.6,"Eixample, Barcelona"
B&B Boutique Ca La Maria,,9.0,"Eixample, Barcelona"
Hostal Centric,,8.9,"Eixample, Barcelona"
Hotel 1898,,8.9,"Ciutat Vella, Barcelona"
Blasco de Garay Apartment - Poble Sec,,8.2,"Sants-Montjuïc, Barcelona"
Acevi Villarroel,,8.0,"Eixample, Barcelona"
Pestana Arena Barcelona,,8.5,"Sants-Montjuïc, Barcelona"
Hotel Sant Agustí,,8.0,"Ciutat Vella, Barcelona"
Hostalet de Barcelona,967.0,8.0,"Eixample, Barcelona"
Catalonia Born,,8.7,"Ciutat Vella, Barcelona"
Catalonia Square 4* Sup,,9.0,"Eixample, Barcelona"
Catalonia Avinyo,,8.6,"Ciutat Vella, Barcelona"
Mesón Castilla Atiram Hotels,,8.2,"Ciutat Vella, Barcelona"
Sercotel Caspe,,8.4,"Eixample, Barcelona"
Catalonia Port,,8.8,"Ciutat Vella, Barcelona"
Zenit Barcelona,,8.2,"Sarrià-St. Gervasi, Barcelona"
Ilunion Auditori,,8.3,"Eixample, Barcelona"
Leonardo Hotel Barcelona Las Ramblas,,8.1,"Ciutat Vella, Barcelona"
Cram Hotel,,8.4,"Eixample, Barcelona"
Barceló Raval,,8.3,"Ciutat Vella, Barcelona"
Hostal Ramos,851.0,7.7,"Ciutat Vella, Barcelona"
Barcelona Hotel Colonial,,8.4,"Ciutat Vella, Barcelona"
Feelathome Casa Bertrand,,8.8,"Eixample, Barcelona"
Catalonia Gran Via BCN,,8.8,"Eixample, Barcelona"
Barcelona Fifteen central Aparthotel,,7.4,"Sants-Montjuïc, Barcelona"
Catalonia La Boquería,,8.3,"Ciutat Vella, Barcelona"
Catalonia Gracia,,8.5,"Eixample, Barcelona"
Sant Antoni Market,,8.7,"Eixample, Barcelona"
AC Hotel Victoria Suites by Marriott,,8.6,"Les Corts, Barcelona"
Ofelias Hotel 4Sup by Bondia Hotel Group,,8.6,"Eixample, Barcelona"
Gran Hotel Havana 4Sup by Escampa Hotels,,8.6,"Eixample, Barcelona"
You Stylish El Born Apartments,,8.4,"Eixample, Barcelona"
Ola Living MACBA,,8.2,"Ciutat Vella, Barcelona"
Isabella's House,,8.5,"Sarrià-St. Gervasi, Barcelona"
NH Barcelona Stadium,,8.3,"Les Corts, Barcelona"
Royal Ramblas,,8.3,"Ciutat Vella, Barcelona"
Hotel Suizo,,8.6,"Ciutat Vella, Barcelona"
Hotel Ronda Lesseps,,8.6,"Gràcia, Barcelona"
Serennia Cest Apartamentos Arc de Triomf,,8.6,"Eixample, Barcelona"
"The Hoxton, Poblenou",,8.5,"Sant Martí, Barcelona"
Serennia Exclusive Rooms,,8.6,"Eixample, Barcelona"
Hotel Cortes Rambla,,8.1,"Ciutat Vella, Barcelona"
Apartamentos DV,998.0,8.6,"Sants-Montjuïc, Barcelona"
Hotel America Barcelona,,8.7,"Eixample, Barcelona"
Mihlton Barcelona Boutique B&B,,8.7,"Eixample, Barcelona"
Occidental Diagonal 414,,8.7,"Eixample, Barcelona"
08028 Apartments,,8.8,"Les Corts, Barcelona"
Hotel Astoria,,8.4,"Eixample, Barcelona"
Hotel Santa Marta,,8.6,"Ciutat Vella, Barcelona"
Catalonia Rigoletto,,8.5,"Les Corts, Barcelona"
Aparthotel Silver,,8.7,"Gràcia, Barcelona"
Room Mate Pau,,9.2,"Eixample, Barcelona"
TSA Gran Via,,8.2,"Eixample, Barcelona"
Casa Elliot by Bondia Hotel Group,,8.8,"Eixample, Barcelona"
Inside Barcelona Apartments Sants,,8.6,"Sants-Montjuïc, Barcelona"
Unite Hostel Barcelona,,8.0,"Sant Martí, Barcelona"
Hotel Boutique Mirlo Barcelona,,9.4,"Sarrià-St. Gervasi, Barcelona"
Hotel Villa Emilia,,8.9,"Eixample, Barcelona"
H10 Raco del Pi,,8.7,"Ciutat Vella, Barcelona"
Casual Colours Barcelona,,8.3,"Les Corts, Barcelona"
Park Hotel,,8.4,"Ciutat Vella, Barcelona"
Serennia Apartamentos Ramblas - Plaça Catalunya,,8.4,"Eixample, Barcelona"
Hotel Sagrada Familia,,8.1,"Eixample, Barcelona"
Hotel Jazz,,8.8,"Eixample, Barcelona"
Inside Barcelona Apartments Princep,,8.7,"Sants-Montjuïc, Barcelona"
"Casa Consell Gran Via, Guest House",,8.6,"Eixample, Barcelona"
Fira Apartments by Gaiarooms,,8.1,"Sants-Montjuïc, Barcelona"
Hotel del Mar,,8.4,"Ciutat Vella, Barcelona"
Negresco Princess 4* Sup,,8.3,"Eixample, Barcelona"
Ibis Barcelona Plaza Glòries 22@,,8.3,"Sant Martí, Barcelona"
Hotel Gótico,,8.6,"Ciutat Vella, Barcelona"
Ramblas Hotel,,7.3,"Ciutat Vella, Barcelona"
Aparthotel Bcn Montjuic,,8.4,"Sants-Montjuïc, Barcelona"
Mercer House Bòria BCN,,8.1,"Ciutat Vella, Barcelona"
Arc La Rambla,,8.4,"Ciutat Vella, Barcelona"
Catalonia Park Güell,,7.8,"Gràcia, Barcelona"
Apart-Suites Hostemplo,,8.9,"Eixample, Barcelona"
MH Apartments Gracia,,8.4,"Gràcia, Barcelona"
SLS Barcelona,,,"Forum Beach , Barcelona"
Casa Lolita,,8.6,"Eixample, Barcelona"
AC Hotel Barcelona Fórum by Marriott,,8.1,"Sant Martí, Barcelona"
Hotel Best Auto Hogar,,7.6,"Ciutat Vella, Barcelona"
