hotel_name,price_euros,rating,neighborhood
Hostal Orleans,561.0,8.7,"Ciutat Vella, Barcelona"
C211 Barcelona Apartments,,8.8,"Sarrià-St. Gervasi, Barcelona"
Montaber Apartments - Sagrada Familia,,8.5,"Eixample, Barcelona"
Passeig de Gracia Studio Loft,,9.2,"Eixample, Barcelona"
Moreryadom,,9.3,"Eixample, Barcelona"
Authentic flat2 in Poble sec - Paralelo,,9.0,"Sants-Montjuïc, Barcelona"
Click&Flat Rizal,,8.8,"Gràcia, Barcelona"
Click&Flat Sugranyes,853.0,8.1,"Sants-Montjuïc, Barcelona"
Luxury Patio,624.0,4.8,"Sant Martí, Barcelona"
LetsGo Diagonal Avenue Apartment,,8.2,"Sarrià-St. Gervasi, Barcelona"
Click&Flat Luxury Tetuan,,9.1,"Eixample, Barcelona"
Apartamentos Tarradellas Sants Estació,,7.6,"Eixample, Barcelona"
Amra Barcelona Gran Via,,8.5,"Eixample, Barcelona"
Apartments Sata Olimpic Village Area,,8.9,"Sant Martí, Barcelona"
Ndlr 2-4 · Authentic flat in Poble Sec - Paralelo,,7.6,"Sants-Montjuïc, Barcelona"
ME Barcelona,,9.1,"Eixample, Barcelona"
Enjoy Apartments Urban Retreat Valencia 4,,8.5,"Eixample, Barcelona"
Estudio Maignon,848.0,9.4,"Gràcia, Barcelona"
Suita Born,876.0,,"Ciutat Vella, Barcelona"
Aparthotel Napols - Abapart,,8.5,"Eixample, Barcelona"
Barnapartments Monumental,937.0,6.6,"Eixample, Barcelona"
Click&Flat Stylish Torrijos,,9.1,"Gràcia, Barcelona"
Ola Living Hostal Diagonal,,7.0,"Sarrià-St. Gervasi, Barcelona"
Ola Living Santa Anna,,8.2,"Ciutat Vella, Barcelona"
Click&Flat Seneca Suites,,9.0,"Gràcia, Barcelona"
Borrell · Near ramblas,,8.4,"Eixample, Barcelona"
Private rooms,427.0,6.8,"Nou Barris, Barcelona"
Central Suites Barcelona,,8.8,"Eixample, Barcelona"
1208 - EXCLUSIVE DESIGN APARTMENT,,8.0,"Eixample, Barcelona"
Sunotel Central,,8.0,"Eixample, Barcelona"
Lodging Apartments City Center-Eixample,,8.6,"Eixample, Barcelona"
Centric Apartments Paseo de Gracia,,8.0,"Eixample, Barcelona"
Hotel El Palace Barcelona,,9.3,"Eixample, Barcelona"
Lamaro Hotel,,9.0,"Ciutat Vella, Barcelona"
Lodging Apartments Liceu G1,,8.2,"Ciutat Vella, Barcelona"
Micampus Barcelona Student Residence,666.0,7.9,Barcelona
Sixties Ramblas,,8.4,"Ciutat Vella, Barcelona"
Lodging Apartments Liceu G2,,8.2,"Ciutat Vella, Barcelona"
Amra Barcelona Caspe,,8.3,"Eixample, Barcelona"
Apartments Sata Sagrada Familia Area,,8.6,"Gràcia, Barcelona"
Casa Abamita,,8.6,"Eixample, Barcelona"
Hermoso piso en el centro de Barcelona,,9.4,"Ciutat Vella, Barcelona"
Hotel Casa Bonay,,9.0,"Eixample, Barcelona"
Generator Barcelona,945.0,7.7,"Gràcia, Barcelona"
Click&Flat Luxury cabanyes,,8.7,"Sants-Montjuïc, Barcelona"
Ola Living MACBA,,8.2,"Ciutat Vella, Barcelona"
Hotel Inglés,,7.6,"Ciutat Vella, Barcelona"
"Zafiro, un maravilloso yate en Barcelona",762.0,10.0,Barcelona
Enjoy Apartments Sofia,,7.3,"Eixample, Barcelona"
Ola Living Portaferrissa,,8.4,"Ciutat Vella, Barcelona"
Ola Living Born,,8.2,"Ciutat Vella, Barcelona"
Housalia Sant Pau Views- Suite with View on Hospital Sant Pau,,8.8,"Eixample, Barcelona"
Ola Living Vidreria,,7.4,"Ciutat Vella, Barcelona"
Three bedrooms apartment,,9.4,"Eixample, Barcelona"
Ola Living Boqueria,,8.6,"Ciutat Vella, Barcelona"
