hotel_name,price_euros,rating,neighborhood
Four Points by Sheraton Barcelona Airport,665.0,8.7,Barcelona
Hotel Rialto,,8.5,"Ciutat Vella, Barcelona"
Tembo Barcelona,,8.8,Barcelona
Axel TWO Barcelona 4 Sup - Adults Only,,8.3,"Eixample, Barcelona"
Ohla Eixample,,8.9,"Eixample, Barcelona"
Ohla Barcelona,,9.1,"Ciutat Vella, Barcelona"
Hotel Paxton Barcelona,,8.8,"Sant Martí, Barcelona"
Barcelonaforrent The Central Place,,8.2,"Eixample, Barcelona"
Barcelonaforrent Urban Town Suites,,7.7,"Sarrià-St. Gervasi, Barcelona"
Catalonia Diagonal Centro,,8.7,"Eixample, Barcelona"
Catalonia Eixample 1864,,8.6,"Eixample, Barcelona"
Catalonia Barcelona Plaza,,8.7,"Sants-Montjuïc, Barcelona"
Catalonia Barcelona 505,,8.5,"Sarrià-St. Gervasi, Barcelona"
Catalonia Portal de l'Angel,,8.7,"Ciutat Vella, Barcelona"
Catalonia Passeig de Gràcia 4* Sup,,9.1,"Eixample, Barcelona"
Catalonia Sagrada Familia,,8.4,"Sant Martí, Barcelona"
Aparthotel Bcn Montjuic,,8.4,"Sants-Montjuïc, Barcelona"
Hotel Via Augusta,,8.4,"Sarrià-St. Gervasi, Barcelona"
B Hotel,,8.6,"Eixample, Barcelona"
Hesperia Barcelona Barri Gòtic,,8.7,"Ciutat Vella, Barcelona"
Hotel Viladomat,,7.6,"Eixample, Barcelona"
Mosaic by Ona,,8.5,"Eixample, Barcelona"
BCN Urbaness Hotels Del Comte,,7.6,"Eixample, Barcelona"
Hostal Central Barcelona,,8.4,"Eixample, Barcelona"
Leonardo Hotel Barcelona Gran Via,,8.6,"Eixample, Barcelona"
Hotel Sant Agustí,,8.0,"Ciutat Vella, Barcelona"
Catalonia Square 4* Sup,,9.0,"Eixample, Barcelona"
Mihlton Barcelona Boutique B&B,,8.7,"Eixample, Barcelona"
Gran Hotel Havana 4Sup by Escampa Hotels,,8.6,"Eixample, Barcelona"
Catalonia La Boquería,,8.3,"Ciutat Vella, Barcelona"
Catalonia Albeniz,,8.4,"Sant Martí, Barcelona"
Cram Hotel,,8.4,"Eixample, Barcelona"
"Hotel Indigo Barcelona Plaza Espana, an IHG Hotel",,8.8,"Sants-Montjuïc, Barcelona"
Catalonia Gracia,,8.5,"Eixample, Barcelona"
Barcelona Hotel Colonial,,8.4,"Ciutat Vella, Barcelona"
Catalonia Atenas,,8.3,"Sant Martí, Barcelona"
Catalonia Avinyo,,8.6,"Ciutat Vella, Barcelona"
Catalonia Rigoletto,,8.5,"Les Corts, Barcelona"
Royal Ramblas,,8.3,"Ciutat Vella, Barcelona"
Hotel & Spa Villa Olimpica Suites,,8.0,"Sant Martí, Barcelona"
Catalonia Gran Via BCN,,8.8,"Eixample, Barcelona"
Hotel America Barcelona,,8.7,"Eixample, Barcelona"
Hotel Gótico,,8.6,"Ciutat Vella, Barcelona"
Catalonia Magdalenes,,9.3,"Ciutat Vella, Barcelona"
Zenit Barcelona,,8.2,"Sarrià-St. Gervasi, Barcelona"
Ciutat Vella,,8.0,"Ciutat Vella, Barcelona"
Mercer House Bòria BCN,,8.1,"Ciutat Vella, Barcelona"
Hotel Concordia Barcelona,,8.3,"Sants-Montjuïc, Barcelona"
Ofelias Hotel 4Sup by Bondia Hotel Group,,8.6,"Eixample, Barcelona"
Hotel 1898,,8.9,"Ciutat Vella, Barcelona"
Catalonia Ramblas 4* Sup,,8.5,"Ciutat Vella, Barcelona"
Upper Diagonal,,8.8,"Sarrià-St. Gervasi, Barcelona"
Oriente Atiram,,8.3,"Ciutat Vella, Barcelona"
La França Travellers Adults Only,,8.3,"Sants-Montjuïc, Barcelona"
Ilunion Les Corts Spa,,8.2,"Les Corts, Barcelona"
Axel Hotel Barcelona - Adults Only,,8.1,"Eixample, Barcelona"
Hotel Turin Barcelona,,8.3,"Ciutat Vella, Barcelona"
Ilunion Almirante,,7.6,"Ciutat Vella, Barcelona"
Hotel California,,8.1,"Ciutat Vella, Barcelona"
Catalonia Catedral,,9.1,"Ciutat Vella, Barcelona"
