hotel_name,price_euros,rating,neighborhood
The First One Madrid Preciados,,8.5,"Madrid City Center, Madrid"
Luminoso Apartamento de Diseño en Paseo Imperial,616.0,8.8,"Arganzuela, Madrid"
Apartamentos EconoStay Fuencarral,457.0,6.4,"Madrid City Center, Madrid"
Apartamentos EconoStay Barbieri 1,439.0,6.1,"Madrid City Center, Madrid"
Castilla Luz Deco,764.0,8.6,"Tetuan, Madrid"
Erase un Hotel,930.0,8.4,"Tetuan, Madrid"
Live it Madrid Gran Vía,526.0,6.9,"Madrid City Center, Madrid"
TravelStep General Ricardos,491.0,7.6,"Carabanchel, Madrid"
4C Bravo Murillo,825.0,8.2,"Tetuan, Madrid"
Hostal Silserranos,900.0,8.8,"Madrid City Center, Madrid"
Olavide en Madrid,995.0,8.3,"Chamberi, Madrid"
Hostal Goyal Pizarro,767.0,8.0,"Madrid City Center, Madrid"
Apartamentos Recoletos,927.0,7.6,"Salamanca, Madrid"
T-Homes Salamanca,838.0,9.0,"Tetuan, Madrid"
Gran Versalles,,8.6,"Chamberi, Madrid"
Plaza Mayor Suites & Apartments,,8.9,"Madrid City Center, Madrid"
Apartamento Altimiras 'Las Ventas',997.0,8.9,"Salamanca, Madrid"
OLBLANC Plaza de España by Batuecas,990.0,8.7,"Moncloa-Aravaca, Madrid"
Hostal Abel Victoriano,732.0,7.8,"Madrid City Center, Madrid"
Beautiful duplex in the center,812.0,,"Madrid City Center, Madrid"
Hostal Don Alfonso,,8.8,"Madrid City Center, Madrid"
Apartamentos Apolo,,8.7,"Madrid City Center, Madrid"
Elba Madrid Alcalá,,8.9,"San Blas, Madrid"
T-Homes - Cuenca,838.0,9.1,"Tetuan, Madrid"
Apartamentos Fuencarral II,,9.1,"Madrid City Center, Madrid"
4Torres Homes - Sofía,719.0,8.5,"Fuencarral-El Pardo, Madrid"
Hostal New Dream Madrid,762.0,7.9,"Madrid City Center, Madrid"
Fuencarral Adeco,843.0,8.3,"Madrid City Center, Madrid"
BHost - Ferraz 74,,8.2,"Moncloa-Aravaca, Madrid"
Violeta Suite,828.0,8.9,"Latina, Madrid"
Feelathome Waldorf Suites Apartments,983.0,9.0,"Chamberi, Madrid"
Home Art Apartments Salamanca,,8.2,"Salamanca, Madrid"
Urban Inn Madrid,393.0,7.3,"Madrid City Center, Madrid"
Hotel Princesa Plaza Madrid,,8.2,"Madrid City Center, Madrid"
Madrid Marriott Auditorium Hotel & Conference Center,,8.8,"San Blas, Madrid"
Hostal Flat55Madrid,838.0,8.0,"Madrid City Center, Madrid"
One Shot Fortuny,,8.2,"Chamberi, Madrid"
Gran Central Suites,,8.0,"Madrid City Center, Madrid"
Alianza Suites,692.0,9.2,"Villaverde, Madrid"
MyHouseSpain - Piso en la Latina,926.0,8.3,"Madrid City Center, Madrid"
Apartamentos Adelfas,766.0,7.6,"Retiro, Madrid"
ITC Infantas by Soho Boutique,,8.2,"Madrid City Center, Madrid"
1 bedroom 1 bathrooms furnished - Delicias Atocha - bright - MintyStay,780.0,8.1,"Arganzuela, Madrid"
Comfortable studio in Barrio Salamanca - Bejar,807.0,8.6,"Salamanca, Madrid"
Precioso apartamento en el Barrio Salamanca P A D,,8.2,"Salamanca, Madrid"
Axel Hotel Madrid - Adults Only,,8.3,"Madrid City Center, Madrid"
Zenit Abeba,,8.8,"Salamanca, Madrid"
Catalonia Puerta del Sol,,8.9,"Madrid City Center, Madrid"
CavaBajaSuites,,9.5,"Madrid City Center, Madrid"
Dobo Homes - PA4,689.0,7.9,"Chamartín, Madrid"
Abba Madrid,,8.7,"Salamanca, Madrid"
Titanic Dreams,595.0,7.1,"Ciudad Lineal, Madrid"
Callao Apartment,,8.6,"Madrid City Center, Madrid"
Minty Stay - Hortaleza,803.0,7.4,"Madrid City Center, Madrid"
Cruz Apartment,,7.6,"Madrid City Center, Madrid"
Hostal A Nuestra Senora de La Paloma,,8.4,"Madrid City Center, Madrid"
La Vaguada loft,796.0,9.3,"Fuencarral-El Pardo, Madrid"
CavaBajaSuites 2,,9.4,"Madrid City Center, Madrid"
Lemon Apartment & Hotels Bernabeu,,9.4,"Tetuan, Madrid"
Hostal Centro Sol Madrid,891.0,8.8,"Madrid City Center, Madrid"
Feelathome Ventas Suites,985.0,8.9,"Salamanca, Madrid"
Casa Cobo Exclusivo Alojamiento en Madrid,808.0,7.9,"Latina, Madrid"
"Hotel Madrid Chamartín, Affiliated by Meliá",,8.2,"Chamartín, Madrid"
El Atelier loft - Plaza Mayor,968.0,8.4,"Madrid City Center, Madrid"
Hostal Fuentesol,483.0,7.3,"Madrid City Center, Madrid"
Palacio Tirso de Molina - THE ARC COLLECTION,,9.2,"Madrid City Center, Madrid"
Espahotel Plaza Basílica,,8.5,"Tetuan, Madrid"
JC Rooms Santo Domingo,,7.9,"Madrid City Center, Madrid"
Funway Academic Resort,830.0,7.6,"Tetuan, Madrid"
Hostal Sun Gate,,9.1,"Madrid City Center, Madrid"
Petit Palace Arturo Soria Alcalá,,8.7,"Ciudad Lineal, Madrid"
1 bedroom 1 bathroom furnished - Recoletos - modern functional - MintyStay,865.0,7.7,"Salamanca, Madrid"
Catalonia Atocha,,8.8,"Madrid City Center, Madrid"
Fuencarral Apartments,,8.2,"Madrid City Center, Madrid"
Hostal Lauria,,9.2,"Madrid City Center, Madrid"
Apartamentos Day Madrid GRAN VIA Centro Sol Malasaña,,6.3,"Madrid City Center, Madrid"
Tribu Malasaña,,8.9,"Madrid City Center, Madrid"
Agora Juan de Austria,,8.4,"Chamberi, Madrid"
Relais & Châteaux Hotel Orfila,,9.3,"Chamberi, Madrid"
Ilunion Suites Madrid,,8.5,"Chamartín, Madrid"
Dormirdcine,,8.7,"Salamanca, Madrid"
Hostal PETITE MAMAN,782.0,7.6,"Madrid City Center, Madrid"
Espahotel Plaza de España,,7.8,"Madrid City Center, Madrid"
Petit Palace Cliper-Gran Vía,,8.2,"Madrid City Center, Madrid"
