hotel_name,price_euros,rating,neighborhood
Le Petit Palü-Fuencarral,527.0,7.8,"Madrid City Center, Madrid"
limehome Madrid Calle de Don Ramón de la Cruz,735.0,8.6,"Salamanca, Madrid"
Bob W Chueca,668.0,8.8,"Madrid City Center, Madrid"
limehome Madrid La Bolsa,836.0,8.9,"Madrid City Center, Madrid"
"Nuevo, luminoso y céntrico",571.0,,"Madrid City Center, Madrid"
limehome Madrid Calle de la Paloma,771.0,8.6,"Madrid City Center, Madrid"
Ibis Madrid Centro las Ventas,748.0,8.2,"Salamanca, Madrid"
limehome Madrid San Lorenzo,785.0,8.4,"Madrid City Center, Madrid"
Casa de Huéspedes Cuenca,350.0,8.2,"Arganzuela, Madrid"
Albergue Miguel Ángel,759.0,8.0,"Madrid City Center, Madrid"
Estudio Madrid Norte 2,496.0,9.1,"Fuencarral-El Pardo, Madrid"
Apartments Central Madrid - q2home,942.0,9.2,"Madrid City Center, Madrid"
Suites Viena Plaza de España,,9.0,"Moncloa-Aravaca, Madrid"
Ibis Budget Madrid Centro Lavapies,723.0,8.0,"Madrid City Center, Madrid"
Hotel Santo Domingo,819.0,7.6,"Madrid City Center, Madrid"
RiNa MADRID apartamento 2,597.0,9.7,"Moncloa-Aravaca, Madrid"
limehome Madrid Calle de la Madera - Digital Access,784.0,8.0,"Madrid City Center, Madrid"
Apartamentos EconoStay Plaza de España,548.0,7.3,"Madrid City Center, Madrid"
RiNa MADRID apartamento1,613.0,9.8,"Moncloa-Aravaca, Madrid"
Hello Madrid,373.0,7.7,"Hortaleza, Madrid"
Rincón de Gran Vía,,8.2,"Madrid City Center, Madrid"
Hostal Macarena,840.0,8.4,"Madrid City Center, Madrid"
H-A San Mateo Suites,546.0,7.7,"Madrid City Center, Madrid"
Bob W Arte,853.0,9.2,"Arganzuela, Madrid"
Hello Feria,252.0,6.3,"Hortaleza, Madrid"
Ibis Budget Madrid Centro Las Ventas,558.0,7.9,"Ciudad Lineal, Madrid"
Urban rooms Fuencarral,639.0,7.0,"Madrid City Center, Madrid"
Hotel Acta Madfor,759.0,8.4,"Moncloa-Aravaca, Madrid"
Apartamentos Huertas,839.0,8.8,"Madrid City Center, Madrid"
Suite privada,536.0,5.3,"Chamberi, Madrid"
Madrid Centro Excepcional,920.0,,"Madrid City Center, Madrid"
Suits recién reformadas Marqués de Vadillo,737.0,8.8,"Carabanchel, Madrid"
CH Bueno,816.0,9.2,"Madrid City Center, Madrid"
Beautiful duplex in the center,812.0,,"Madrid City Center, Madrid"
Best Location Puerta de Alcalá,724.0,,"Salamanca, Madrid"
Hospedium Hotel Los Condes,866.0,8.5,"Madrid City Center, Madrid"
maravilloso apartamento zona financiera,726.0,9.0,"Tetuan, Madrid"
H-A Aparthotel Hotel Quo,737.0,8.2,"Salamanca, Madrid"
Fee4Me. Vallés 6,,9.6,"Arganzuela, Madrid"
Plaza España RIO,552.0,7.4,"Madrid City Center, Madrid"
Luxury Green Hostal Madrid Gran Vía,,9.1,"Madrid City Center, Madrid"
Apartamentos Las Torres,924.0,8.7,"Tetuan, Madrid"
Le Petit Palü- Barco,893.0,8.5,"Madrid City Center, Madrid"
Hotel Liabeny,,8.9,"Madrid City Center, Madrid"
Cats Hostel Madrid Sol,612.0,8.2,"Madrid City Center, Madrid"
apartamento ventas,712.0,9.2,"Ciudad Lineal, Madrid"
El Chato Madrid,540.0,8.6,"Latina, Madrid"
Lemon Apartment & Hotels Bernabeu,,9.4,"Tetuan, Madrid"
Suites recién reformadas Vista Alegre,842.0,9.2,"Carabanchel, Madrid"
Hostal PETITE MAMAN,700.0,7.6,"Madrid City Center, Madrid"
GuestReady -Marvelous Retreat near Plaza de España,,8.9,"Madrid City Center, Madrid"
Apartamento Lavapies al lado del Rastro,,8.6,"Madrid City Center, Madrid"
Turísticos Cuenca 3,694.0,7.8,"Tetuan, Madrid"
Moderna estancia con baño privado 1,536.0,9.3,"Chamberi, Madrid"
Hotel Puerta de Toledo,945.0,8.8,"Arganzuela, Madrid"
"Moncloa apartment, con parking opcional",997.0,9.0,"Chamberi, Madrid"
CH Las Murallas,733.0,7.7,"Madrid City Center, Madrid"
CH Chelo,746.0,7.8,"Madrid City Center, Madrid"
LA CANTUEÑA,277.0,7.7,Madrid
"Casa de las Artes, member of Meliá Collection",,8.8,"Madrid City Center, Madrid"
Luze Castellana,825.0,8.4,"Tetuan, Madrid"
Fee4Me Marques Vintage Apartment,,7.8,"Madrid City Center, Madrid"
AparthotelTribunal,876.0,8.9,"Madrid City Center, Madrid"
CavaBajaSuites 2,,9.4,"Madrid City Center, Madrid"
CavaBajaSuites,,9.5,"Madrid City Center, Madrid"
GARDEN HOUSE Madrid,886.0,9.6,"Moratalaz, Madrid"
Apartamentos Day Madrid GRAN VIA Centro Sol Malasaña,,6.3,"Madrid City Center, Madrid"
AC Hotel Atocha by Marriott,,8.7,"Arganzuela, Madrid"
Moderna Casa de Lujo con Jacuzzi en el Jardín,,9.6,"Fuencarral-El Pardo, Madrid"
WANDA Airport Suite,812.0,9.2,"San Blas, Madrid"
L&G Madrid Apartments,,8.6,"Arganzuela, Madrid"
Apartamentos Matute 11,893.0,8.4,"Madrid City Center, Madrid"
Estudio Madrid 1,421.0,8.5,"Carabanchel, Madrid"
Carla - SVF Malasaña,599.0,,"Madrid City Center, Madrid"
