hotel_name,price_euros,rating,neighborhood
PRADO ATOCHA Apartaments,,7.2,"Madrid City Center, Madrid"
The First One Madrid Preciados,,8.5,"Madrid City Center, Madrid"
Titanic Dreams,483.0,7.1,"Ciudad Lineal, Madrid"
Vértice Roomspace,595.0,8.0,"Villaverde, Madrid"
B&B HOTEL Madrid Carabanchel,611.0,9.2,"Carabanchel, Madrid"
Travelodge Madrid Metropolitano,654.0,8.3,"San Blas, Madrid"
Hostal New Dream Madrid,624.0,7.9,"Madrid City Center, Madrid"
Avenida De America Tijcal,893.0,8.6,"Salamanca, Madrid"
Zenit Abeba,,8.8,"Salamanca, Madrid"
AC Hotel Avenida de América by Marriott,,8.8,"Salamanca, Madrid"
Hostal Silserranos,987.0,8.8,"Madrid City Center, Madrid"
Apartamentos Juan Bravo,961.0,8.4,"Salamanca, Madrid"
Hostal Goyal Pizarro,831.0,8.0,"Madrid City Center, Madrid"
Beautiful duplex in the center,812.0,,"Madrid City Center, Madrid"
4C Bravo Murillo,925.0,8.2,"Tetuan, Madrid"
Exe Convention Plaza Madrid,752.0,8.1,"Fuencarral-El Pardo, Madrid"
ARTIEM Madrid,,9.4,"Ciudad Lineal, Madrid"
Elba Madrid Alcalá,,8.9,"San Blas, Madrid"
Style Madrid Center Santiago Bernabeu,897.0,8.9,"Tetuan, Madrid"
Apartamentos Recoletos,981.0,7.6,"Salamanca, Madrid"
TravelStep General Ricardos,491.0,7.6,"Carabanchel, Madrid"
Casa Cobo Exclusivo Alojamiento en Madrid,808.0,7.9,"Latina, Madrid"
JC Rooms Santa Ana,958.0,8.0,"Madrid City Center, Madrid"
Bright apartment- 1Bd 1Bth- Alonso Cano,,8.6,"Chamberi, Madrid"
OLBLANC Plaza de España by Batuecas,,8.7,"Moncloa-Aravaca, Madrid"
Suites You Nickel,,7.8,"Madrid City Center, Madrid"
Gran Versalles,,8.6,"Chamberi, Madrid"
Minty Stay - Galdo,,9.2,"Madrid City Center, Madrid"
Hotel Madrid Río,774.0,7.3,"Usera, Madrid"
Ilunion Alcalá Norte,,8.9,"San Blas, Madrid"
Hostal Overnight Madrid,865.0,8.1,"Moncloa-Aravaca, Madrid"
Urban Inn Madrid,318.0,7.3,"Madrid City Center, Madrid"
AC Hotel Madrid Feria by Marriott,,8.6,"Hortaleza, Madrid"
Catalonia Atocha,,8.8,"Madrid City Center, Madrid"
T-Homes - Cuenca,922.0,9.1,"Tetuan, Madrid"
THC Tirso Molina Hostel,,8.7,"Madrid City Center, Madrid"
Pensión Numancia,645.0,9.0,"Chamberi, Madrid"
Aparto-Hotel Rosales,,8.9,"Moncloa-Aravaca, Madrid"
"Precioso estudio en Barajas, a un paso del Metro",626.0,9.6,"Barajas, Madrid"
T-Homes Salamanca,922.0,9.0,"Tetuan, Madrid"
Ilunion Suites Madrid,,8.5,"Chamartín, Madrid"
LA CANTUEÑA,421.0,7.7,Madrid
Bob W Chueca,,8.8,"Madrid City Center, Madrid"
Hostal Milan,,8.3,"Madrid City Center, Madrid"
Hotel BESTPRICE Alcalá,720.0,9.1,"San Blas, Madrid"
Apartamentos Soho Boutique Hoy No Me Puedo Levantar,,8.5,"Madrid City Center, Madrid"
"Holiday Inn Express - Madrid - Airport, an IHG Hotel",963.0,8.8,"San Blas, Madrid"
JC Rooms Santo Domingo,,7.9,"Madrid City Center, Madrid"
ITC Mora by Soho Boutique,,7.8,"Madrid City Center, Madrid"
Lemon Apartment & Hotels Bernabeu,,9.4,"Tetuan, Madrid"
Palacio Tirso de Molina - THE ARC COLLECTION,,9.2,"Madrid City Center, Madrid"
ibis budget Madrid Aeropuerto,584.0,7.7,"San Blas, Madrid"
Catalonia Puerta del Sol,,8.9,"Madrid City Center, Madrid"
GARDEN HOUSE Madrid,860.0,9.6,"Moratalaz, Madrid"
ITC Infantas by Soho Boutique,,8.2,"Madrid City Center, Madrid"
Exe Plaza,,8.7,"Tetuan, Madrid"
Fuencarral Adeco,946.0,8.3,"Madrid City Center, Madrid"
Apartamentos Day Madrid GRAN VIA Centro Sol Malasaña,,6.3,"Madrid City Center, Madrid"
CavaBajaSuites 2,,9.4,"Madrid City Center, Madrid"
Hostal Flat55Madrid,930.0,8.0,"Madrid City Center, Madrid"
Hostal Abril Madrid,884.0,8.5,"Madrid City Center, Madrid"
Spacious apartment near to Santiago Bernabeu,945.0,9.6,"Chamartín, Madrid"
"Casa de las Artes, member of Meliá Collection",,8.8,"Madrid City Center, Madrid"
Relais & Châteaux Hotel Orfila,,9.3,"Chamberi, Madrid"
H-A Aparthotel Hotel Quo,,8.2,"Salamanca, Madrid"
Hostal Moncloa,620.0,7.3,"Chamberi, Madrid"
I'M Room Suites Nuevos Ministerios - Bernabeu 'Digital Access',,9.0,"Tetuan, Madrid"
Ilunion Atrium,,8.5,"Ciudad Lineal, Madrid"
Apartamentos EconoStay Barbieri 1,455.0,6.1,"Madrid City Center, Madrid"
Eco Via Lusitana,762.0,8.2,"Carabanchel, Madrid"
L&G Madrid Apartments,,8.6,"Arganzuela, Madrid"
La Latina Premium Home,,8.2,"Madrid City Center, Madrid"
