hotel_name,price_euros,rating,neighborhood
Cálamo Guesthouse,1135.0,9.1,"Madrid City Center, Madrid"
Oasis urbano en el corazón financiero / Castellana,886.0,9.4,"Tetuan, Madrid"
Titanic Dreams,435.0,7.1,"Ciudad Lineal, Madrid"
B&B HOTEL Madrid Carabanchel,583.0,9.2,"Carabanchel, Madrid"
Fee4Me. Vallés 6,968.0,9.6,"Arganzuela, Madrid"
Vértice Roomspace,479.0,8.0,"Villaverde, Madrid"
apartamento reformado en el barrio de las letras,905.0,7.1,"Madrid City Center, Madrid"
Apartamentos Juan Bravo,879.0,8.4,"Salamanca, Madrid"
4C Bravo Murillo,800.0,8.2,"Tetuan, Madrid"
Elba Madrid Alcalá,1111.0,8.9,"San Blas, Madrid"
Catalonia Atocha,1540.0,8.8,"Madrid City Center, Madrid"
Hostal Macarena,840.0,8.4,"Madrid City Center, Madrid"
AC Hotel Avenida de América by Marriott,1188.0,8.8,"Salamanca, Madrid"
Apartamentos Apolo,1023.0,8.7,"Madrid City Center, Madrid"
Plaza Mayor Suites & Apartments,1227.0,8.9,"Madrid City Center, Madrid"
Hotel Puerta de Toledo,945.0,8.8,"Arganzuela, Madrid"
Zenit Abeba,1283.0,8.8,"Salamanca, Madrid"
Dear Hotel Madrid,1521.0,8.8,"Madrid City Center, Madrid"
JUAN BRAVO FRANCISCO SILVELA,975.0,8.5,"Salamanca, Madrid"
Espahotel Plaza Basílica,1102.0,8.5,"Tetuan, Madrid"
CajaSoul by Caja Mágica Madrid,1060.0,9.4,"Usera, Madrid"
Hostal Silserranos,900.0,8.8,"Madrid City Center, Madrid"
Bright and Cozy - 1Bedroom 1Bath - Las Letras,961.0,8.7,"Madrid City Center, Madrid"
Modern and bright- 1Bd 1 Bth furnished- Sol in downtown area,983.0,8.1,"Madrid City Center, Madrid"
Espahotel Plaza de España,1050.0,7.8,"Madrid City Center, Madrid"
Catalonia Puerta del Sol,1580.0,8.9,"Madrid City Center, Madrid"
Exe Plaza,955.0,8.7,"Tetuan, Madrid"
The Match Madrid,912.0,8.3,"Chamberi, Madrid"
Menoir Dorsett Madrid Usera,482.0,7.4,"Usera, Madrid"
Minty Stay - Studio Hortaleza,923.0,8.5,"Madrid City Center, Madrid"
Avenida De America Tijcal,893.0,8.6,"Salamanca, Madrid"
UVE Marcenado,943.0,9.2,"Chamartín, Madrid"
Hotel Sardinero Madrid,1249.0,9.0,"Chamberi, Madrid"
Visitor's Book,1760.0,9.7,"Chamberi, Madrid"
Catalonia Gran Vía Madrid,1650.0,8.7,"Madrid City Center, Madrid"
ARTIEM Madrid,1186.0,9.4,"Ciudad Lineal, Madrid"
"Bautiful and centrally located, Cuzco-Bernabeu",812.0,9.2,"Tetuan, Madrid"
Apartamentos Recoletos,918.0,7.6,"Salamanca, Madrid"
Preciados,1643.0,8.9,"Madrid City Center, Madrid"
Hostal Overnight Madrid,720.0,8.1,"Moncloa-Aravaca, Madrid"
Apartamento en Corrala,796.0,8.9,"Madrid City Center, Madrid"
OLBLANC Plaza de España by Batuecas,1071.0,8.7,"Moncloa-Aravaca, Madrid"
SY Fuencarral,1107.0,9.1,"Madrid City Center, Madrid"
Ok Hostel Madrid,1380.0,9.0,"Madrid City Center, Madrid"
Minty Stay - Jose Ortega y Gasset,747.0,7.2,"Salamanca, Madrid"
Dormirdcine,1050.0,8.7,"Salamanca, Madrid"
Ilunion Suites Madrid,1041.0,8.5,"Chamartín, Madrid"
Fee4Me. Amazing apartment in the heart of Lavapies,915.0,8.0,"Madrid City Center, Madrid"
Apartamento Principe de Vergara,890.0,8.3,"Chamartín, Madrid"
Hotelito Boutique Madrid Puente Vallecas,682.0,8.6,"Puente de Vallecas, Madrid"
Apartamento Atocha / Embajadores,984.0,8.7,"Madrid City Center, Madrid"
MintyStay - Palma,1564.0,9.3,"Madrid City Center, Madrid"
Sercotel Togumar,1089.0,8.4,"Chamartín, Madrid"
Agora Juan de Austria,1103.0,8.4,"Chamberi, Madrid"
Beautiful duplex in the center,812.0,,"Madrid City Center, Madrid"
ITC Infantas by Soho Boutique,1668.0,8.2,"Madrid City Center, Madrid"
Axel Hotel Madrid - Adults Only,1418.0,8.3,"Madrid City Center, Madrid"
Petit Palace Arturo Soria Alcalá,1370.0,8.7,"Ciudad Lineal, Madrid"
One Shot Fortuny,1475.0,8.2,"Chamberi, Madrid"
Hostal Abel Victoriano,687.0,7.8,"Madrid City Center, Madrid"
1 bedroom 1 bathroom- MintyStay - Plaza de San Idelfonso,964.0,8.4,"Madrid City Center, Madrid"
Brigth Stylish studio - Gran Vía,1201.0,8.4,"Madrid City Center, Madrid"
Apartamento estudio en el centro de Madrid,487.0,,"Tetuan, Madrid"
Encantador estudio Chamartin,685.0,8.8,"Ciudad Lineal, Madrid"
Inmejorable Ubicación en Madrid,737.0,7.2,"Salamanca, Madrid"
BEST FLAT NEAR REAL MADRID STADIUM,1238.0,8.9,"Chamartín, Madrid"
Hostal Alexis Madrid,1028.0,8.6,"Madrid City Center, Madrid"
Lemon Apartment & Hotels Bernabeu,1928.0,9.4,"Tetuan, Madrid"
APARTAMENTO en ATOCHA - Silencioso y luminoso,781.0,8.3,"Arganzuela, Madrid"
Suites You Nickel,865.0,7.8,"Madrid City Center, Madrid"
Mágico apartamento en el centro Madrid,963.0,9.2,"Madrid City Center, Madrid"
Spacious apartment near to Santiago Bernabeu,935.0,9.6,"Chamartín, Madrid"
JC Rooms Santo Domingo,895.0,7.9,"Madrid City Center, Madrid"
Hostal Don Alfonso,1071.0,8.8,"Madrid City Center, Madrid"
Hotel Praga,981.0,8.4,"Carabanchel, Madrid"
Charming Cozy Lavapies,902.0,7.8,"Madrid City Center, Madrid"
Cozy studio - 1Bathroom - Salamanca,974.0,7.9,"Chamartín, Madrid"
Catalonia Goya,1780.0,8.9,"Salamanca, Madrid"
Ilunion Alcalá Norte,1077.0,8.9,"San Blas, Madrid"
1 bedroom 1 bathroom furnished - Salamanca - executive style - MintyStay,983.0,8.7,"Salamanca, Madrid"
MintyStay - Don Ramón de la Cruz,1626.0,7.4,"Salamanca, Madrid"
Motel One Madrid-Plaza de España,1613.0,8.8,"Moncloa-Aravaca, Madrid"
Ilunion Atrium,999.0,8.5,"Ciudad Lineal, Madrid"
Aparto-Hotel Rosales,1320.0,8.9,"Moncloa-Aravaca, Madrid"
Apartment in monumental square Madrid Center,1183.0,9.2,"Madrid City Center, Madrid"
Wonderful Apartment Chueca,1125.0,7.9,"Madrid City Center, Madrid"
Apartamento Ágüelos,1009.0,8.9,"Puente de Vallecas, Madrid"
Palacio Tirso de Molina - THE ARC COLLECTION,3225.0,9.2,"Madrid City Center, Madrid"
Hotel Cortezo,1500.0,8.3,"Madrid City Center, Madrid"
Apartamentos Day Madrid GRAN VIA Centro Sol Malasaña,927.0,6.3,"Madrid City Center, Madrid"
Fee4Me Marques Vintage Apartment,1784.0,7.8,"Madrid City Center, Madrid"
Madrid Studio Apartments,670.0,8.5,"Chamartín, Madrid"
Estudio acogedor y céntrico- 1B - Malasaña,935.0,8.3,"Madrid City Center, Madrid"
