hotel_name,price_euros,rating,neighborhood
Relais & Châteaux Hotel Orfila,,9.3,"Chamberi, Madrid"
Apartamento cerca Plaza Mayor,,8.8,"Madrid City Center, Madrid"
El Chaflán de Vallecas,443.0,8.6,"Puente de Vallecas, Madrid"
Albergue Miguel Ángel,759.0,8.0,"Madrid City Center, Madrid"
Apartamento Madrid Norte,536.0,9.3,"Fuencarral-El Pardo, Madrid"
Estudio Madrid Norte 2,496.0,9.1,"Fuencarral-El Pardo, Madrid"
ESTUDIOS GRAN VÍA,745.0,8.1,"Madrid City Center, Madrid"
Juan Bravo Suites,,8.9,"Salamanca, Madrid"
Apartamento juvenil en la mejor zona de Madrid,,,"Chamberi, Madrid"
Hostal Silserranos,726.0,8.8,"Madrid City Center, Madrid"
Apartamentos Juan Bravo,868.0,8.4,"Salamanca, Madrid"
MEZZANINE ORANGE,831.0,8.4,"Madrid City Center, Madrid"
maravilloso apartamento zona financiera,726.0,9.0,"Tetuan, Madrid"
Apartamento moderno en edificio histórico,795.0,8.3,"Madrid City Center, Madrid"
Vértice Roomspace,504.0,8.0,"Villaverde, Madrid"
MADRID URBAN SUITES Nuevo APARTAHOTEL con 7 Apartamentos -7 flats full equiped,895.0,8.7,"Puente de Vallecas, Madrid"
Hostal Macarena,840.0,8.4,"Madrid City Center, Madrid"
Hostal Overnight Madrid,640.0,8.1,"Moncloa-Aravaca, Madrid"
Hostal Rivera - Atocha,546.0,7.8,"Madrid City Center, Madrid"
Market Martinez de la Riva I,448.0,6.9,"Puente de Vallecas, Madrid"
Ok Hostel Madrid,960.0,9.0,"Madrid City Center, Madrid"
Fee4Me. Vallés 6,,9.6,"Arganzuela, Madrid"
Apartamento Vallecas Plaza,619.0,9.3,"Puente de Vallecas, Madrid"
Suits recién reformadas Marqués de Vadillo,729.0,8.8,"Carabanchel, Madrid"
Elba Madrid Alcalá,,8.9,"San Blas, Madrid"
Hostal Santa Cruz,911.0,8.8,"Madrid City Center, Madrid"
Velazquez Suites,,9.1,"Salamanca, Madrid"
Alojamiento Familiar The Greenhouse Madrid,680.0,9.9,"Latina, Madrid"
Urban rooms Fuencarral,674.0,7.0,"Madrid City Center, Madrid"
Hotelito Boutique Madrid Puente Vallecas,682.0,8.6,"Puente de Vallecas, Madrid"
"Precioso apartamento en Puente Vallecas, Madrid. D",636.0,9.2,"Puente de Vallecas, Madrid"
El Pozo-Villalobos Suite,410.0,9.1,"Puente de Vallecas, Madrid"
Madrid Centro Excepcional,920.0,,"Madrid City Center, Madrid"
Turísticos Cuenca 3,694.0,7.8,"Tetuan, Madrid"
Apartamentos Las Torres,924.0,8.7,"Tetuan, Madrid"
Modern Apartment in Madrid,532.0,7.0,"Carabanchel, Madrid"
Suite privada,536.0,5.3,"Chamberi, Madrid"
Oriente Palace Apartments,,9.0,"Madrid City Center, Madrid"
Hostal Lisboa,924.0,8.7,"Madrid City Center, Madrid"
Suites recién reformadas Vista Alegre,810.0,9.2,"Carabanchel, Madrid"
LaNave,966.0,7.8,"Moncloa-Aravaca, Madrid"
Hostal Alexis Madrid,913.0,8.6,"Madrid City Center, Madrid"
Habitaciónes doble con baño privado en el centro de Madrid,381.0,6.8,"Carabanchel, Madrid"
CajaSoul by Caja Mágica Madrid,,9.4,"Usera, Madrid"
Apartments Center Madrid,903.0,7.9,"Madrid City Center, Madrid"
Hostal Lauria,,9.2,"Madrid City Center, Madrid"
Alojamiento turístico en Madrid,731.0,8.8,"Moratalaz, Madrid"
Hostal Goyal Pizarro,767.0,8.0,"Madrid City Center, Madrid"
Espahotel Gran Vía,,8.3,"Madrid City Center, Madrid"
Apartamentos Recoletos,,7.6,"Salamanca, Madrid"
Colon Suites,,8.1,"Madrid City Center, Madrid"
Hostal El Brezo,590.0,7.7,"Moncloa-Aravaca, Madrid"
Casa de Huespedes Dolce Vita,546.0,7.6,"Madrid City Center, Madrid"
S42 Estudio en Madrid Centro con Wifi,532.0,7.5,"Madrid City Center, Madrid"
Negresco Gran Via,,8.0,"Madrid City Center, Madrid"
4C Bravo Murillo,,8.2,"Tetuan, Madrid"
Edsan,541.0,9.3,"Puente de Vallecas, Madrid"
ABC Apartments Vistalegre I,716.0,10.0,"Carabanchel, Madrid"
Espahotel Plaza Basílica,,8.5,"Tetuan, Madrid"
ITC Infantas by Soho Boutique,,8.2,"Madrid City Center, Madrid"
Lemon Apartment & Hotels Bernabeu,,9.4,"Tetuan, Madrid"
GARDEN HOUSE Madrid,772.0,9.6,"Moratalaz, Madrid"
Beautiful duplex in the center,812.0,,"Madrid City Center, Madrid"
OLBLANC Plaza de España by Batuecas,,8.7,"Moncloa-Aravaca, Madrid"
Loft reformado en Marques de Vadillo con patio privado,614.0,7.9,"Carabanchel, Madrid"
Hostal Sol Los Angeles,983.0,7.9,"Madrid City Center, Madrid"
Apartamento Centro de Madrid,735.0,8.4,"Madrid City Center, Madrid"
Hostal Marlasca,,8.3,"Madrid City Center, Madrid"
Tribu Malasaña,,8.9,"Madrid City Center, Madrid"
WANDA Airport Suite,812.0,9.2,"San Blas, Madrid"
Apartamento Centro de Madrid Plaza Mayor JH,969.0,8.2,"Madrid City Center, Madrid"
Apartamentos Gravina,846.0,9.0,"Madrid City Center, Madrid"
Fee4Me Marques Vintage Apartment,,7.8,"Madrid City Center, Madrid"
Casa Sergio,485.0,9.2,"Moncloa-Aravaca, Madrid"
Palacio Plaza Conde Miranda,,9.5,"Madrid City Center, Madrid"
Hostal Adria Santa Ana,786.0,8.1,"Madrid City Center, Madrid"
Encantador Puente Segovia Caramuel,804.0,7.8,"Latina, Madrid"
U-Sense Madrid Santa Ana,,9.3,"Madrid City Center, Madrid"
Balcón con luz natural,882.0,8.3,"Chamartín, Madrid"
Apartamentos Day Madrid GRAN VIA Centro Sol Malasaña,,6.3,"Madrid City Center, Madrid"
CavaBajaSuites 2,,9.4,"Madrid City Center, Madrid"
Apartamentos Cava Baja,,9.1,"Madrid City Center, Madrid"
CavaBajaSuites,,9.5,"Madrid City Center, Madrid"
"Casa de las Artes, member of Meliá Collection",,8.8,"Madrid City Center, Madrid"
ABC Apartments Vistalegre II,687.0,10.0,"Carabanchel, Madrid"
MH Apartments Central Madrid,,8.9,"Madrid City Center, Madrid"
Apartamento estudio en el centro de Madrid,487.0,,"Tetuan, Madrid"
L&G Madrid Apartments,,8.6,"Arganzuela, Madrid"
Apartamento Luna - SOLO ADULTOS,,8.7,"Chamberi, Madrid"
S32-Estudio con Wifi en Madrid Centro,498.0,6.9,"Madrid City Center, Madrid"
EG14 piso 2 dormitorios WIFI Fibra AC,890.0,8.0,"Chamberi, Madrid"
Suites Viena Plaza de España,,9.0,"Moncloa-Aravaca, Madrid"
"Alojamiento ENTERO en Madrid, con ACCESO PRIVADO",528.0,8.4,"Puente de Vallecas, Madrid"
PISO CENTRICO CON PATIO PRIVADO,,9.1,"Moncloa-Aravaca, Madrid"
Estudios Dukes,637.0,8.8,"Madrid City Center, Madrid"
Menoir Dorsett Madrid Usera,504.0,7.5,"Usera, Madrid"
DS3- Loft con aire acondicionado y Wifi en Madrid,468.0,7.8,"Puente de Vallecas, Madrid"
Ilunion Suites Madrid,,8.5,"Chamartín, Madrid"
Hostal PETITE MAMAN,749.0,7.6,"Madrid City Center, Madrid"
THC Tirso Molina Hostel,,8.7,"Madrid City Center, Madrid"
Aparto-Hotel Rosales,,8.9,"Moncloa-Aravaca, Madrid"
Hostal Flat55Madrid,785.0,8.0,"Madrid City Center, Madrid"
UVE Marcenado,,9.2,"Chamartín, Madrid"
Petit Palace Arturo Soria Alcalá,,8.7,"Ciudad Lineal, Madrid"
Madrid Downtown Chamberi,,8.0,"Chamberi, Madrid"
MH Apartments Soho Madrid,,8.9,"Salamanca, Madrid"
Los Ventanales Plaza Mayor,841.0,8.5,"Madrid City Center, Madrid"
Sercotel Gran Hotel Conde Duque,,8.4,"Chamberi, Madrid"
Aparthotel Encasa,637.0,8.5,"Vicálvaro, Madrid"
Gran Versalles,,8.6,"Chamberi, Madrid"
Hostal Josefina-Gran Vía,,7.5,"Madrid City Center, Madrid"
MEZZANINE YELLOW,817.0,8.1,"Madrid City Center, Madrid"
Petit Palace Plaza Mayor,,8.3,"Madrid City Center, Madrid"
Djenne Encantador apartamento en el corazón de la ciudad,,9.5,"Moncloa-Aravaca, Madrid"
Acogedor apartamento Madrid centro,828.0,8.9,"Madrid City Center, Madrid"
ITC Mora by Soho Boutique,,7.8,"Madrid City Center, Madrid"
Tranquilo y elegante - Cerca de IFEMA y Aeropuerto,712.0,,"Hortaleza, Madrid"
Estudio Room Madrid Centro,541.0,8.0,"Madrid City Center, Madrid"
Fuencarral Adeco,863.0,8.3,"Madrid City Center, Madrid"
JC Rooms Santo Domingo,,7.9,"Madrid City Center, Madrid"
ARTIEM Madrid,,9.4,"Ciudad Lineal, Madrid"
NEW APT in the heart of Madrid,,9.7,"Salamanca, Madrid"
Petit Palace Triball,,8.7,"Madrid City Center, Madrid"
Sercotel Togumar,,8.4,"Chamartín, Madrid"
EdSam EUCALIPTO Madrid,541.0,6.6,"Puente de Vallecas, Madrid"
Hostal New Dream Madrid,636.0,7.9,"Madrid City Center, Madrid"
Golden Alcala,518.0,7.8,"Ciudad Lineal, Madrid"
Apartamento HM en Vista Alegre Madrid,592.0,8.5,"Carabanchel, Madrid"
Petit Palace President Castellana,,7.5,"Salamanca, Madrid"
C9 Piso privado reformado con WIFI y AC,568.0,8.6,"Latina, Madrid"
Hotel Cortezo,,8.3,"Madrid City Center, Madrid"
Hostal Arrate,813.0,7.9,"Chamberi, Madrid"
New Go Inn,838.0,8.2,"Madrid City Center, Madrid"
Medina - Luxury suite apt. Madrid center,,9.2,"Chamberi, Madrid"
Espahotel Plaza de España,,7.8,"Madrid City Center, Madrid"
Apartamentos Goya 75,830.0,6.5,"Salamanca, Madrid"
Emperador,,8.7,"Madrid City Center, Madrid"
Plaza de España Skyline,,9.2,"Moncloa-Aravaca, Madrid"
Bonito apartamento en Sol,,8.8,"Madrid City Center, Madrid"
Hostal Manuela by Gaiarooms,,7.6,"Madrid City Center, Madrid"
