hotel_name,price_euros,rating,neighborhood
Fee4Me. Vallés 6,770.0,9.6,"Arganzuela, Madrid"
Montaber Apartments - La Paz Market,634.0,7.7,"Salamanca, Madrid"
Hostal Aresol,617.0,9.0,"Madrid City Center, Madrid"
Hostal Alicante,402.0,7.3,"Madrid City Center, Madrid"
Melia Madrid Princesa,,8.6,"Moncloa-Aravaca, Madrid"
Charming Retiro II,886.0,8.4,"Retiro, Madrid"
Oasis urbano en el corazón financiero / Castellana,886.0,9.4,"Tetuan, Madrid"
Casa Real,690.0,,"Madrid City Center, Madrid"
Madrid Centro Apartamnto Estreno,569.0,10.0,"Arganzuela, Madrid"
Le Petit Palü-Fuencarral,527.0,7.8,"Madrid City Center, Madrid"
Urban Rooms Madrid Ventas,454.0,,"Ciudad Lineal, Madrid"
apartamento ventas,572.0,9.2,"Ciudad Lineal, Madrid"
Oasis ii: lujo a pasos del prado,737.0,7.7,"Madrid City Center, Madrid"
Spacious apartment near to Santiago Bernabeu,712.0,9.6,"Chamartín, Madrid"
WM Stays Estudio Elegante,509.0,8.7,"Tetuan, Madrid"
Hotel Atlántico,,9.2,"Madrid City Center, Madrid"
Urban rooms Fuencarral,575.0,7.0,"Madrid City Center, Madrid"
Apartamento con encanto en ópera,657.0,7.8,"Madrid City Center, Madrid"
Suites recién reformadas Vista Alegre,683.0,9.2,"Carabanchel, Madrid"
Colon Suites,946.0,8.1,"Madrid City Center, Madrid"
Appartement lumineux à Chamberi,611.0,9.0,"Chamberi, Madrid"
Estudio Madrid Norte 2,496.0,9.1,"Fuencarral-El Pardo, Madrid"
RiNa MADRID apartamento1,613.0,9.8,"Moncloa-Aravaca, Madrid"
Apartamento en el centro de Madrid (chueca),,8.0,"Madrid City Center, Madrid"
Apartamento centro Madrid,643.0,8.9,"Madrid City Center, Madrid"
Fee4Me. Amazing apartment in the heart of Lavapies,758.0,8.0,"Madrid City Center, Madrid"
CH Las Murallas,558.0,7.7,"Madrid City Center, Madrid"
"Apartamento Palacio Real de Madrid, histórico",826.0,8.0,"Madrid City Center, Madrid"
Amplio piso a 300m de Retiro,872.0,8.6,"Retiro, Madrid"
CH Chelo,568.0,7.8,"Madrid City Center, Madrid"
Tranquilo y elegante - Cerca de IFEMA y Aeropuerto,712.0,,"Hortaleza, Madrid"
Apartamento HM en Vista Alegre Madrid,479.0,8.5,"Carabanchel, Madrid"
Castellana Suites,,8.9,"Salamanca, Madrid"
Hostal Met Madrid,925.0,8.9,"Madrid City Center, Madrid"
Un lujo en plena Calle Goya,,9.8,"Salamanca, Madrid"
CavaBajaSuites,,9.5,"Madrid City Center, Madrid"
Albergue Miguel Ángel,759.0,8.0,"Madrid City Center, Madrid"
habitación en chaflán con terraza hacia la ciudad,393.0,,"Arganzuela, Madrid"
"Elegante y espacioso, junto a la Plaza Mayor",,9.5,"Madrid City Center, Madrid"
Juan Bravo Suites,,8.9,"Salamanca, Madrid"
Madrid Centro Excepcional,920.0,,"Madrid City Center, Madrid"
Hotel du Temps Madrid,998.0,8.8,"Madrid City Center, Madrid"
Refugio 2BR y 2BA Azca/Bernabéu,947.0,9.3,"Tetuan, Madrid"
Estudio con entrada independiente en Madrid,379.0,10.0,"Carabanchel, Madrid"
La Estación de Atocha,719.0,7.6,"Arganzuela, Madrid"
Suite privada,536.0,5.3,"Chamberi, Madrid"
Fee4Me Marques Vintage Apartment,,7.8,"Madrid City Center, Madrid"
Apartamentos Las Torres,924.0,8.7,"Tetuan, Madrid"
New apartment in center Madrid!,917.0,9.3,"Madrid City Center, Madrid"
Ile Atocha Exterior Olivar,993.0,7.3,"Madrid City Center, Madrid"
Bonito y acogedor estudio en zona cultural,668.0,8.6,"Madrid City Center, Madrid"
Far Home Atocha,383.0,8.6,"Madrid City Center, Madrid"
Cats Hostel Madrid Sol,513.0,8.2,"Madrid City Center, Madrid"
CavaBajaSuites 2,,9.4,"Madrid City Center, Madrid"
FR85 Apartment,747.0,8.6,"Chamberi, Madrid"
Wonder Apartments,,8.1,"Madrid City Center, Madrid"
Charming Anton Martin Market,,7.5,"Madrid City Center, Madrid"
Best Location Puerta de Alcalá,724.0,,"Salamanca, Madrid"
Charming Reina Sofía,716.0,8.0,"Madrid City Center, Madrid"
LA CANTUEÑA,277.0,7.7,Madrid
"completo,céntrico y zona premium",429.0,7.2,"Salamanca, Madrid"
Apartamento 4A Atocha Delicias Madrid Rio,704.0,8.6,"Arganzuela, Madrid"
Dobo Homes - HOR7,659.0,8.7,"Chamartín, Madrid"
Modern Apartment in Madrid,532.0,7.0,"Carabanchel, Madrid"
"Casa de las Artes, member of Meliá Collection",,8.8,"Madrid City Center, Madrid"
Velazquez Suites,,9.1,"Salamanca, Madrid"
Charming Cozy Lavapies,609.0,7.8,"Madrid City Center, Madrid"
Ronda de Valencia apartamento,618.0,7.3,"Madrid City Center, Madrid"
Apartamento Turistico Cava Alta,718.0,8.7,"Madrid City Center, Madrid"
Dobo Homes - JO47,615.0,8.7,"Tetuan, Madrid"
Reina Sofia Boutique I,,9.1,"Madrid City Center, Madrid"
Apartamentos Day Madrid GRAN VIA Centro Sol Malasaña,927.0,6.3,"Madrid City Center, Madrid"
Encantador Tirso Molina Exterior Mesón,,7.5,"Madrid City Center, Madrid"
Luxury Green Hostal Madrid Gran Vía,,9.1,"Madrid City Center, Madrid"
Moderna estancia con baño privado 1,536.0,9.3,"Chamberi, Madrid"
Turísticos Cuenca 3,694.0,7.8,"Tetuan, Madrid"
Le Petit Palü- Barco,893.0,8.5,"Madrid City Center, Madrid"
Plaza España RIO,552.0,7.4,"Madrid City Center, Madrid"
El Chato Madrid,540.0,8.6,"Latina, Madrid"
Moderna Casa de Lujo con Jacuzzi en el Jardín,,9.6,"Fuencarral-El Pardo, Madrid"
Charming Santa Isabel,535.0,7.3,"Madrid City Center, Madrid"
Hostal PETITE MAMAN,665.0,7.6,"Madrid City Center, Madrid"
Hostal A Nuestra Senora de La Paloma,792.0,8.4,"Madrid City Center, Madrid"
Comfy 4 rooms apt in the heart of Chueca (Madrid center),,8.3,"Madrid City Center, Madrid"
Coqueto Apartamento en Delicias,786.0,9.0,"Arganzuela, Madrid"
Melia Avenida de America,,8.9,"San Blas, Madrid"
4 Bears Sharehome,654.0,9.1,"Madrid City Center, Madrid"
