hotel_name,price_euros,rating,neighborhood
Hotel Roger de Llúria,,8.3,"Eixample, Barcelona"
Hostal Orleans,631.0,8.7,"Ciutat Vella, Barcelona"
Aspasios Charming Flats,,8.6,"Eixample, Barcelona"
Apartment Gràcia- Parc Güell by Interhome,,9.0,"Gràcia, Barcelona"
Hotel Raval House,978.0,8.2,"Ciutat Vella, Barcelona"
Hotel Viladomat,856.0,7.6,"Eixample, Barcelona"
Hotel Rialto,,8.5,"Ciutat Vella, Barcelona"
Barcelona House,922.0,8.0,"Ciutat Vella, Barcelona"
ZOOROOMS Boutique Guesthouse,,9.1,"Eixample, Barcelona"
Hotel Concordia Barcelona,,8.3,"Sants-Montjuïc, Barcelona"
Ramblas Hotel,998.0,7.3,"Ciutat Vella, Barcelona"
Ciutat Vella,,8.0,"Ciutat Vella, Barcelona"
Catalonia Albeniz,,8.4,"Sant Martí, Barcelona"
Charmsuites Paralel,,7.7,"Sants-Montjuïc, Barcelona"
Up Suites BCN,,8.9,"Eixample, Barcelona"
Fisa Rentals Ramblas Apartments,,8.8,"Eixample, Barcelona"
Apartaments Sant Jordi Fontanella,,8.0,"Eixample, Barcelona"
Barcelona Mercaders Apartments,,8.0,"Ciutat Vella, Barcelona"
Hotel Annex - Rey Don Jaime I,861.0,7.3,"Ciutat Vella, Barcelona"
Weflating Suites Sant Antoni Market,,8.6,"Eixample, Barcelona"
Ecozentric,948.0,7.4,"Eixample, Barcelona"
Grupotel Gravina,,8.4,"Ciutat Vella, Barcelona"
Hotel Alimara,,8.4,"Horta-Guinardó, Barcelona"
Hostalin Barcelona Passeig de Gracia,,7.4,"Eixample, Barcelona"
Hotel Continental Palacete,,8.5,"Eixample, Barcelona"
Grupotel Gran Via 678,,8.4,"Eixample, Barcelona"
Mihlton Barcelona Boutique B&B,,8.7,"Eixample, Barcelona"
Occidental Barcelona 1929,,8.8,"Sants-Montjuïc, Barcelona"
Ramblas Apartments,,8.7,"Ciutat Vella, Barcelona"
Hotel Lloret Ramblas,,8.1,"Ciutat Vella, Barcelona"
Acta Antibes,,8.5,"Eixample, Barcelona"
Gaudi Sagrada Familia,,7.6,"Eixample, Barcelona"
Leonardo Hotel Barcelona Gran Via,,8.6,"Eixample, Barcelona"
Catalonia Sagrada Familia,,8.4,"Sant Martí, Barcelona"
Residencia Universitaria Campus del Mar,,7.9,"Ciutat Vella, Barcelona"
Charmsuites Nou Rambla,,7.5,"Sants-Montjuïc, Barcelona"
Hotel Suizo,,8.6,"Ciutat Vella, Barcelona"
C211 Barcelona Apartments,,8.8,"Sarrià-St. Gervasi, Barcelona"
Catalonia Eixample 1864,,8.6,"Eixample, Barcelona"
Nicebarcelonaapartments,,8.6,"Ciutat Vella, Barcelona"
Tembo Barcelona,,8.8,Barcelona
Aspasios Arc de Triomf Apartments,,9.2,"Eixample, Barcelona"
Hotel Via Augusta,,8.4,"Sarrià-St. Gervasi, Barcelona"
Axel TWO Barcelona 4 Sup - Adults Only,,8.3,"Eixample, Barcelona"
Hotel del Mar,,8.4,"Ciutat Vella, Barcelona"
Hotel SB Glow 4 Sup,,8.3,"Sant Martí, Barcelona"
Leonardo Hotel Barcelona Las Ramblas,,8.1,"Ciutat Vella, Barcelona"
Ohla Barcelona,,9.1,"Ciutat Vella, Barcelona"
Catalonia Passeig de Gràcia 4* Sup,,9.1,"Eixample, Barcelona"
Catalonia Barcelona 505,,8.5,"Sarrià-St. Gervasi, Barcelona"
Hotel Lyon,873.0,7.2,"Ciutat Vella, Barcelona"
